Rk,Player,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
146,Stephy Mavididi,583,4343,2355,91,40,27,39,35,623,138,1615,2024-2025,26,eng ENG,Leicester City,eng Premier League,30,FW,30144daa
147,John McGinn,581,2930,1270,32,17,7,37,29,744,87,2223,2024-2025,29,sct SCO,Aston Villa,eng Premier League,34,MFFW,90f91999
148,Yunus Musah,581,4052,2074,51,44,12,46,13,671,74,1571,2024-2025,21,us USA,Milan,it Serie A,29,MFFW,b51b1b9c
149,Evann Guessand,581,3867,2205,87,44,30,75,71,687,162,2565,2024-2025,23,ci CIV,Nice,fr Ligue 1,33,FWMF,b73f17f8
150,Lassine Sinayoko,576,3080,1441,53,30,28,51,43,690,193,2299,2024-2025,24,ml MLI,Auxerre,fr Ligue 1,34,FWMF,5e5249c8
151,Nikola Krstović,571,2693,1162,42,22,24,86,40,786,149,3057,2024-2025,24,me MNE,Lecce,it Serie A,37,FW,473803c9
152,Emmanuel Gyasi,570,2433,864,22,18,9,54,24,676,108,3217,2024-2025,30,gh GHA,Empoli,it Serie A,37,DFFW,f9758dae
153,Takumi Minamino,567,3076,1496,51,28,27,56,23,709,193,2231,2024-2025,29,jp JPN,Monaco,fr Ligue 1,31,MFFW,f833a830
154,Yeremi Pino,565,2781,1416,42,26,21,52,23,668,213,1934,2024-2025,21,es ESP,Villarreal,es La Liga,34,MFFW,540ec57b
155,Sebastiano Esposito,565,2356,1092,31,26,11,88,50,712,106,2331,2024-2025,22,it ITA,Empoli,it Serie A,33,FWMF,7ff93107
156,Timothy Weah,565,3194,1486,45,21,18,26,15,652,120,1638,2024-2025,24,us USA,Juventus,it Serie A,30,DFFW,8eec784d
157,Harvey Barnes,561,4196,2467,93,48,47,33,23,647,192,1755,2024-2025,26,eng ENG,Newcastle Utd,eng Premier League,33,FW,3ea50f67
158,Tete Morente,560,3477,1689,48,43,6,43,15,643,144,2021,2024-2025,27,es ESP,Lecce,it Serie A,31,FWMF,004d185e
159,Tyler Dibling,558,4418,2215,69,50,26,44,55,651,96,1874,2024-2025,18,eng ENG,Southampton,eng Premier League,33,FWMF,bdcc89ae
160,Gavi,557,2274,1128,13,16,1,19,9,712,42,1085,2024-2025,19,es ESP,Barcelona,es La Liga,26,MFFW,19cae58d
161,Sebastian Nanasi,557,2735,1563,53,41,15,20,15,690,127,2107,2024-2025,22,se SWE,Strasbourg,fr Ligue 1,31,MFFW,ce747d2a
162,Patrick Dorgu,557,3684,1871,68,40,20,37,37,658,117,1840,2024-2025,19,dk DEN,Lecce,it Serie A,21,DFFW,e6536124
163,Mateo Retegui,557,2233,472,21,12,11,96,48,704,199,2383,2024-2025,25,it ITA,Atalanta,it Serie A,36,FW,e7695e6c
164,Adrian Beck,553,3077,1192,37,17,11,42,26,584,83,1598,2024-2025,27,de GER,Heidenheim,de Bundesliga,32,MFFW,616c09f5
165,Christantus Uche,553,3077,1160,43,26,18,113,67,726,148,2486,2024-2025,21,ng NGA,Getafe,es La Liga,33,FWMF,87941696
166,Yoane Wissa,550,3469,1662,60,26,34,77,35,658,154,2919,2024-2025,27,cd COD,Brentford,eng Premier League,35,FW,2500cef9
167,Raúl Jiménez,549,2557,1112,35,24,17,74,45,734,125,2494,2024-2025,33,mx MEX,Fulham,eng Premier League,38,FW,b561db50
168,Derrick Köhn,549,2550,1333,36,24,7,23,12,587,122,1343,2024-2025,25,de GER,Werder Bremen,de Bundesliga,27,DFFW,b735b590
169,Francisco Conceição,548,4309,2292,95,32,59,35,22,581,143,1340,2024-2025,21,pt POR,Juventus,it Serie A,26,FWMF,5ef3d210
170,Kiké,548,2136,739,25,18,10,98,42,719,158,2542,2024-2025,34,es ESP,Alavés,es La Liga,35,FW,e897d8ba
171,Rémy Cabella,546,2893,1530,45,35,12,16,10,667,130,1011,2024-2025,34,fr FRA,Lille,fr Ligue 1,23,FWMF,148e136f
172,Tim Kleindienst,545,2407,1024,45,21,24,82,42,797,145,2737,2024-2025,28,de GER,Gladbach,de Bundesliga,31,FW,258a6f4d
173,Brennan Johnson,544,2939,1460,60,23,35,26,17,626,197,2177,2024-2025,23,wls WAL,Tottenham,eng Premier League,33,FW,0cd31129
174,Alieu Fadera,544,3868,2239,74,34,32,41,33,533,160,1644,2024-2025,22,gm GAM,Como,it Serie A,28,FWDF,53210e42
175,Bryan Zaragoza,544,4839,2697,105,62,51,41,15,585,140,1836,2024-2025,23,es ESP,Osasuna,es La Liga,27,FWMF,a96103b2
176,Gaetano Oristanio,543,4131,2046,72,48,30,80,72,569,131,2315,2024-2025,21,it ITA,Venezia,it Serie A,37,FWMF,5cfc74fc
177,Juan Cruz,543,3461,1661,59,43,21,40,24,570,131,2257,2024-2025,24,es ESP,Leganés,es La Liga,34,FWMF,cc2dd8a5
178,Anass Zaroury,541,2941,1437,49,41,8,27,14,660,107,1405,2024-2025,23,ma MAR,Lens,fr Ligue 1,28,FWMF,07d65234
