Rk,Player,Shots_Total,Goals_per_Shot,Goals_per_Shot_on_Target,Shots_on_Target,Shot_on_Target_Percentage,Average_Shot_Distance,Free_Kicks,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
306,Dani Rodríguez,31,0.13,0.4,10,0.3229999999999999,17.9,1,2186,2024-2025,36,es ESP,Mallorca,es La Liga,37,MFFW,70f8e0bd
307,Valentin Mihaila,31,0.0,0.0,11,0.355,22.1,5,1300,2024-2025,24,ro ROU,Parma,it Serie A,21,FWMF,81a4c239
308,Malick Fofana,31,0.16,0.33,15,0.484,15.0,0,1599,2024-2025,19,be BEL,Lyon,fr Ligue 1,29,FW,8236f673
309,Anastasios Douvikas,31,0.16,0.36,14,0.452,11.7,0,1289,2024-2025,24,gr GRE,2 Teams,2 Comps,33,FW,853ca71c
310,John McGinn,31,0.03,0.2,5,0.161,17.0,1,2238,2024-2025,29,sct SCO,Aston Villa,eng Premier League,34,MFFW,90f91999
311,Thijs Dallinga,31,0.1,0.27,11,0.355,11.6,0,1162,2024-2025,23,nl NED,Bologna,it Serie A,31,FW,b70afb45
312,Giovani Lo Celso,31,0.19,0.38,16,0.516,22.0,4,1463,2024-2025,28,ar ARG,Betis,es La Liga,25,MFFW,d7553721
313,Franck Honorat,31,0.13,0.44,9,0.29,15.2,0,1456,2024-2025,27,fr FRA,Gladbach,de Bundesliga,19,FW,db7849ca
314,Junya Ito,31,0.13,0.36,11,0.355,13.7,0,2703,2024-2025,31,jp JPN,Reims,fr Ligue 1,33,FWMF,dbd3a428
315,Badredine Bouanani,30,0.07,0.14,14,0.467,20.3,1,1108,2024-2025,19,dz ALG,Nice,fr Ligue 1,26,MFFW,0400dd2f
316,Tanguy Coulibaly,30,0.1,0.23,13,0.433,15.4,0,1494,2024-2025,23,fr FRA,Montpellier,fr Ligue 1,25,FWMF,05ba9d7c
317,Rémy Cabella,30,0.03,0.14,7,0.233,14.7,1,1019,2024-2025,34,fr FRA,Lille,fr Ligue 1,23,FWMF,148e136f
318,Gianluca Gaetano,30,0.07,0.33,6,0.2,17.2,2,1017,2024-2025,24,it ITA,2 Teams,it Serie A,28,MFFW,3b387cc7
319,Thomas Müller,30,0.03,0.09,11,0.367,15.9,0,1234,2024-2025,34,de GER,Bayern Munich,de Bundesliga,30,MFFW,3c6089ab
320,John Yeboah,30,0.03,0.1,10,0.3329999999999999,16.6,0,1233,2024-2025,24,ec ECU,Venezia,it Serie A,33,FWMF,8dfdc6c3
321,Giorgos Masouras,30,0.07,0.13,15,0.5,14.5,1,1065,2024-2025,30,gr GRE,Bochum,de Bundesliga,14,FWMF,9d689a5b
322,Benjamín Domínguez,30,0.1,0.18,17,0.5670000000000001,19.2,0,1294,2024-2025,20,ar ARG,Bologna,it Serie A,24,FW,a83b47fa
323,Nikola Vlašić,30,0.1,0.3,10,0.3329999999999999,22.2,0,2128,2024-2025,26,hr CRO,Torino,it Serie A,30,MFFW,aa8e289e
324,Luis Henrique,30,0.23,0.5,14,0.467,14.6,0,2625,2024-2025,22,br BRA,Marseille,fr Ligue 1,33,DFFW,f36d5624
325,Bilal El Khannouss,30,0.07,0.29,7,0.233,22.0,0,2201,2024-2025,20,ma MAR,Leicester City,eng Premier League,32,MFFW,f7042636
326,Mama Samba Baldé,30,0.07,0.25,8,0.267,15.5,0,1193,2024-2025,28,gw GNB,2 Teams,fr Ligue 1,29,FW,fb14aa28
327,Jeremie Boga,30,0.03,0.06,16,0.5329999999999999,17.0,2,1063,2024-2025,27,ci CIV,Nice,fr Ligue 1,21,MFFW,fe012aca
328,Jamie Leweling,29,0.07,0.13,16,0.552,19.4,0,1682,2024-2025,23,de GER,Stuttgart,de Bundesliga,27,MFFW,13fe7b69
329,Mathias Honsak,29,0.17,0.5,10,0.345,17.1,1,1186,2024-2025,27,at AUT,Heidenheim,de Bundesliga,22,FWDF,3dbdbb6a
