Rk,Player,GCA,PassLive,PassDead,TO,Sh,Fld,Def_GCA,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
206,Gabriel Martinelli,7,4,0,1,1,1,0,2305,2024-2025,23,br BRA,Arsenal,eng Premier League,33,FWMF,48a5a5d6
207,Simon Adingra,7,5,0,1,1,0,0,1107,2024-2025,22,ci CIV,Brighton,eng Premier League,29,FWMF,4dcec659
208,Alieu Fadera,7,6,0,1,0,0,0,1656,2024-2025,22,gm GAM,Como,it Serie A,28,FWDF,53210e42
209,Eldor Shomurodov,7,7,0,0,0,0,0,1106,2024-2025,29,uz UZB,Roma,it Serie A,27,FWMF,57469b2d
210,Nicolas Pépé,7,7,0,0,0,0,0,1509,2024-2025,29,ci CIV,Villarreal,es La Liga,28,FWMF,57e3f0c7
211,Gaetano Oristanio,7,4,0,1,0,2,0,2339,2024-2025,21,it ITA,Venezia,it Serie A,37,FWMF,5cfc74fc
212,Maximilian Beier,7,5,0,1,1,0,0,1601,2024-2025,21,de GER,Dortmund,de Bundesliga,29,FWMF,5db45ee5
213,Yann Gboho,7,5,0,0,2,0,0,2346,2024-2025,23,fr FRA,Toulouse,fr Ligue 1,31,MFFW,6be41a31
214,Borja Iglesias,7,3,0,0,1,3,0,1975,2024-2025,31,es ESP,Celta Vigo,es La Liga,37,FW,75645f0e
215,Léo Scienza,7,3,2,0,0,2,0,1164,2024-2025,25,br BRA,Heidenheim,de Bundesliga,25,FWMF,79064bc9
216,Gaëtan Laborde,7,6,0,0,0,1,0,1846,2024-2025,30,fr FRA,Nice,fr Ligue 1,28,FW,7cdda3bf
217,Mahdi Camara,7,4,0,1,1,1,0,2673,2024-2025,26,fr FRA,Brest,fr Ligue 1,34,MFFW,8577e60a
218,Álvaro García,7,6,0,0,1,0,0,2573,2024-2025,31,es ESP,Rayo Vallecano,es La Liga,36,FWMF,90bbd822
219,Kamory Doumbia,7,2,1,1,1,0,2,1334,2024-2025,21,ml MLI,Brest,fr Ligue 1,30,MFFW,9226aa22
220,Ferrán Torres,7,6,0,1,0,0,0,1115,2024-2025,24,es ESP,Barcelona,es La Liga,27,FWMF,9e1035f8
221,Benjamín Domínguez,7,6,0,1,0,0,0,1294,2024-2025,20,ar ARG,Bologna,it Serie A,24,FW,a83b47fa
