Rk,Player,Cmp_Total,Att_Total,Cmp%_Total,Key_Passes,Passes_into_Final_Third,Passes_into_Penalty_Area,Crosses_into_Penalty_Area,Progressive_Passes,Total_Distance,Progressive_Distance,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
69,Eliesse Ben Seghir,754,951,0.7929999999999999,33,71,45,4,122,10638,3042,454,515,0.882,233,293,0.795,34,76,0.447,1761,2024-2025,19,ma MAR,Monaco,fr Ligue 1,33,MFFW,3bd65247
70,Hákon Arnar Haraldsson,751,946,0.794,35,64,42,5,102,12052,2948,369,428,0.862,302,351,0.86,53,95,0.5579999999999999,1769,2024-2025,21,is ISL,Lille,fr Ligue 1,25,MFFW,e2ae54db
71,Leroy Sané,750,909,0.825,36,24,35,7,64,10629,1878,438,490,0.894,253,298,0.8490000000000001,29,45,0.644,1647,2024-2025,28,de GER,Bayern Munich,de Bundesliga,30,FW,2b114be3
72,Kaoru Mitoma,749,988,0.758,37,36,36,8,89,9777,2226,505,579,0.872,189,265,0.713,23,52,0.442,2616,2024-2025,27,jp JPN,Brighton,eng Premier League,36,FWMF,74618572
73,Bradley Barcola,749,917,0.8170000000000001,50,28,51,4,96,10250,2486,485,546,0.888,225,275,0.818,20,33,0.606,2200,2024-2025,21,fr FRA,Paris S-G,fr Ligue 1,34,FW,a0d55a09
74,Zuriko Davitashvili,737,938,0.7859999999999999,50,38,23,4,73,10639,2497,426,485,0.878,238,297,0.8009999999999999,36,83,0.434,2790,2024-2025,23,ge GEO,Saint-Étienne,fr Ligue 1,33,FWMF,88b4d2e3
75,Luis Díaz,736,874,0.8420000000000001,56,48,46,6,110,11789,2533,394,445,0.885,254,295,0.861,60,74,0.8109999999999999,2420,2024-2025,27,co COL,Liverpool,eng Premier League,36,FW,4a1a9578
76,Gavi,733,814,0.9,14,92,11,1,77,10848,2687,401,422,0.95,254,283,0.898,35,44,0.795,1094,2024-2025,19,es ESP,Barcelona,es La Liga,26,MFFW,19cae58d
77,Florian Sotoca,732,996,0.735,18,74,29,9,105,10828,2837,418,495,0.8440000000000001,229,305,0.7509999999999999,50,85,0.588,1807,2024-2025,33,fr FRA,Lens,fr Ligue 1,31,FWMF,7a42d0df
78,Son Heung-min,730,925,0.789,50,41,51,6,111,10333,2866,447,498,0.898,206,255,0.8079999999999999,39,82,0.476,2122,2024-2025,32,kr KOR,Tottenham,eng Premier League,30,FW,92e7e919
79,Gaëtan Perrin,728,1031,0.706,73,87,34,7,142,13238,4768,348,418,0.833,233,306,0.7609999999999999,113,216,0.523,2710,2024-2025,28,fr FRA,Auxerre,fr Ligue 1,34,MFFW,10dd88f9
80,Anthony Gordon,720,982,0.733,51,65,55,17,98,11128,3642,397,464,0.856,244,312,0.782,56,125,0.4479999999999999,2452,2024-2025,23,eng ENG,Newcastle Utd,eng Premier League,34,FWMF,2bd83368
81,Carlos Vicente,720,1140,0.632,63,36,38,29,68,12031,4061,388,496,0.782,240,354,0.6779999999999999,77,185,0.416,3099,2024-2025,25,es ESP,Alavés,es La Liga,37,FWMF,90df343e
82,Julián Álvarez,717,966,0.742,41,45,38,5,92,10651,2652,404,486,0.831,214,267,0.8009999999999999,53,114,0.465,2526,2024-2025,24,ar ARG,Atlético Madrid,es La Liga,37,FW,15ab5a2b
83,Mohammed Kudus,715,855,0.836,31,46,29,15,79,11695,1800,381,421,0.905,256,288,0.889,58,85,0.682,2605,2024-2025,23,gh GHA,West Ham,eng Premier League,32,FWMF,b62878a5
84,Leandro Trossard,711,954,0.745,41,45,48,10,101,11435,2972,377,439,0.8590000000000001,275,357,0.77,43,87,0.494,2559,2024-2025,29,be BEL,Arsenal,eng Premier League,38,FW,38ceb24a
85,Leonardo Spinazzola,710,895,0.7929999999999999,26,62,34,8,88,12378,3751,315,346,0.91,311,376,0.8270000000000001,69,121,0.57,1527,2024-2025,31,it ITA,Napoli,it Serie A,27,DFFW,3626daea
86,Pedro Neto,702,895,0.784,46,30,37,23,60,11347,2418,347,373,0.93,267,326,0.8190000000000001,60,127,0.472,2277,2024-2025,24,pt POR,Chelsea,eng Premier League,35,FW,7ba2eaa9
87,John McGinn,699,854,0.8190000000000001,31,70,29,8,103,11807,3243,336,367,0.916,285,332,0.858,64,111,0.5770000000000001,2238,2024-2025,29,sct SCO,Aston Villa,eng Premier League,34,MFFW,90f91999
88,Alexis Saelemaekers,696,851,0.818,26,40,23,7,57,10225,2732,425,468,0.908,202,242,0.835,46,84,0.5479999999999999,1494,2024-2025,25,be BEL,2 Teams,it Serie A,23,DFFW,ee251371
89,Takefusa Kubo,694,962,0.721,45,59,45,11,110,9938,2961,425,500,0.85,185,259,0.7140000000000001,47,97,0.485,2388,2024-2025,23,jp JPN,Real Sociedad,es La Liga,36,MFFW,16aa3654
90,Ludovic Blas,693,938,0.7390000000000001,47,76,33,9,116,12028,3413,349,399,0.875,242,322,0.752,81,161,0.503,2304,2024-2025,26,fr FRA,Rennes,fr Ligue 1,29,MFFW,6191093d
91,Sávio,692,856,0.8079999999999999,46,19,47,8,67,10296,1727,423,470,0.9,227,283,0.802,31,56,0.5539999999999999,1779,2024-2025,20,br BRA,Manchester City,eng Premier League,29,FWMF,fe6e7156
92,Callum Hudson-Odoi,691,843,0.82,44,38,33,11,71,10242,2075,401,437,0.918,218,266,0.82,44,87,0.506,2210,2024-2025,23,eng ENG,Nott'ham Forest,eng Premier League,31,FWMF,15f3ec41
93,Omari Hutchinson,690,885,0.78,31,45,27,15,75,10875,2022,353,399,0.885,283,339,0.835,38,73,0.521,2594,2024-2025,20,eng ENG,Ipswich Town,eng Premier League,31,MFFW,bd9553e6
94,Marcus Tavernier,689,934,0.738,43,80,40,14,128,11654,3481,334,387,0.863,280,352,0.795,60,127,0.472,1948,2024-2025,25,eng ENG,Bournemouth,eng Premier League,29,FWMF,5c0da4a4
95,Jacob Murphy,688,1004,0.685,42,58,41,15,83,10412,3438,411,484,0.8490000000000001,218,320,0.6809999999999999,43,109,0.3939999999999999,2385,2024-2025,29,eng ENG,Newcastle Utd,eng Premier League,35,FW,de112b84
96,Robin Hack,684,898,0.762,32,52,34,12,95,10640,3174,384,439,0.875,210,260,0.8079999999999999,60,117,0.513,2195,2024-2025,25,de GER,Gladbach,de Bundesliga,33,FWMF,0174ba21
97,Ademola Lookman,684,944,0.725,61,29,43,13,73,9662,2659,436,502,0.8690000000000001,178,256,0.695,42,96,0.4379999999999999,2266,2024-2025,26,ng NGA,Atalanta,it Serie A,31,MFFW,7c104bb7
98,Diego López,680,943,0.721,38,43,34,9,85,10541,2502,373,457,0.816,251,320,0.784,37,61,0.607,2763,2024-2025,22,es ESP,Valencia,es La Liga,38,MFFW,c487901c
99,Vinicius Júnior,673,901,0.747,58,53,36,6,85,10433,2523,383,462,0.8290000000000001,196,250,0.784,62,96,0.6459999999999999,2264,2024-2025,24,br BRA,Real Madrid,es La Liga,30,FW,7111d552
100,Morgan Rogers,664,907,0.732,51,73,56,3,123,9771,3327,374,460,0.813,203,267,0.76,49,65,0.754,3132,2024-2025,22,eng ENG,Aston Villa,eng Premier League,37,FWMF,2e5915f1
101,Jadon Sancho,663,803,0.826,38,28,48,0,90,8932,2093,416,465,0.895,208,250,0.8320000000000001,14,27,0.519,1775,2024-2025,24,eng ENG,Chelsea,eng Premier League,31,FW,dbf053da
102,Iago Aspas,661,877,0.754,38,74,35,4,132,10703,3064,349,429,0.8140000000000001,201,253,0.794,73,105,0.695,1754,2024-2025,36,es ESP,Celta Vigo,es La Liga,30,FWMF,7dcf86f6
103,Timothy Weah,659,787,0.8370000000000001,19,38,13,6,56,10475,2680,342,368,0.929,275,311,0.884,30,62,0.484,1648,2024-2025,24,us USA,Juventus,it Serie A,30,DFFW,8eec784d
104,Dejan Kulusevski,658,893,0.737,65,62,52,6,124,9216,2920,394,457,0.862,203,260,0.7809999999999999,32,79,0.405,2394,2024-2025,24,se SWE,Tottenham,eng Premier League,32,MFFW,df3cda47
105,Mario Götze,656,846,0.775,34,56,19,1,88,9147,2783,404,454,0.89,188,243,0.774,32,72,0.444,1555,2024-2025,32,de GER,Eint Frankfurt,de Bundesliga,24,MFFW,9efa1d25
106,Alejandro Garnacho,649,823,0.789,37,22,25,5,56,9138,1181,405,458,0.884,183,223,0.821,31,52,0.596,2208,2024-2025,20,ar ARG,Manchester Utd,eng Premier League,36,MFFW,7aa8adfe
107,Viktor Tsyhankov,646,871,0.742,33,38,24,6,65,9793,2532,361,416,0.868,192,259,0.741,52,118,0.441,1925,2024-2025,26,ua UKR,Girona,es La Liga,27,FWMF,f7e87032
108,Sebastian Nanasi,643,812,0.792,37,74,39,2,126,9577,2783,385,439,0.877,204,251,0.813,34,78,0.436,2129,2024-2025,22,se SWE,Strasbourg,fr Ligue 1,31,MFFW,ce747d2a
109,Dennis Man,631,793,0.7959999999999999,45,46,25,5,60,8923,2252,397,464,0.856,167,200,0.835,39,66,0.591,2007,2024-2025,25,ro ROU,Parma,it Serie A,33,FWMF,2079b3cc
110,Yunus Musah,631,724,0.872,23,60,17,7,84,10809,2425,289,320,0.903,279,313,0.8909999999999999,52,65,0.8,1582,2024-2025,21,us USA,Milan,it Serie A,29,MFFW,b51b1b9c
111,Rafael Leão,630,849,0.742,58,37,51,10,93,10407,2763,320,397,0.8059999999999999,257,320,0.8029999999999999,42,77,0.545,2335,2024-2025,25,pt POR,Milan,it Serie A,34,FW,20730eae
112,Rémy Cabella,628,762,0.8240000000000001,26,39,25,8,77,8904,2413,371,413,0.898,208,248,0.8390000000000001,24,45,0.5329999999999999,1019,2024-2025,34,fr FRA,Lille,fr Ligue 1,23,FWMF,148e136f
113,Álex Berenguer,628,954,0.6579999999999999,46,49,28,11,78,10110,2537,335,401,0.835,214,292,0.733,57,186,0.306,2361,2024-2025,29,es ESP,Athletic Club,es La Liga,36,FWMF,dc1c2fce
114,Kingsley Coman,624,740,0.843,32,26,28,5,45,9720,1512,337,373,0.903,250,287,0.871,27,48,0.563,1293,2024-2025,28,fr FRA,Bayern Munich,de Bundesliga,28,FW,042e8a49
115,Antony,622,768,0.81,36,34,43,7,67,8403,2211,400,452,0.885,155,201,0.7709999999999999,29,53,0.547,1366,2024-2025,24,br BRA,Betis,es La Liga,17,FW,99127249
116,Bryan Gil,621,759,0.818,21,27,33,7,74,8853,1808,380,420,0.905,198,238,0.8320000000000001,23,50,0.46,1738,2024-2025,23,es ESP,Girona,es La Liga,25,FWMF,7b5ab7f2
117,Nikola Vlašić,613,768,0.7979999999999999,32,57,24,4,94,8813,2258,355,410,0.866,207,257,0.805,26,40,0.65,2128,2024-2025,26,hr CRO,Torino,it Serie A,30,MFFW,aa8e289e
118,Gustav Isaksen,610,796,0.7659999999999999,35,19,24,10,46,10259,1771,313,352,0.889,224,281,0.797,59,105,0.562,2233,2024-2025,23,dk DEN,Lazio,it Serie A,37,FW,5715bb71
119,Denzel Dumfries,603,831,0.726,21,22,21,9,51,9776,2992,322,377,0.8540000000000001,229,332,0.69,45,76,0.5920000000000001,1959,2024-2025,28,nl NED,Inter,it Serie A,29,DFFW,481c9ece
120,Jeremy Doku,603,762,0.7909999999999999,32,12,48,6,69,8464,1506,400,463,0.8640000000000001,183,226,0.81,14,21,0.667,1526,2024-2025,22,be BEL,Manchester City,eng Premier League,29,FWMF,fffea3e5
