Player,Season,Team,Comp,xG,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Position,Player_ID
Arthur Atta,2024-2025,Udinese,it Serie A,1.3,1.3,1.4,2.7,1.4,2.7,-1.3,-1.3,-0.3999999999999999,0.05,MFFW,d3ddf88b
Bilal El Khannouss,2024-2025,Leicester City,eng Premier League,1.3,1.3,4.6,5.9,4.6,5.9,0.7,0.7,-1.5999999999999996,0.04,MFFW,f7042636
Khalil Fayad,2024-2025,Montpellier,fr Ligue 1,1.3,1.3,0.3,1.6,0.3,1.6,-1.3,-1.3,-0.3,0.07,MFFW,faf00ab8
Jeremy Doku,2024-2025,Manchester City,eng Premier League,1.3,1.3,4.8,6.1,4.8,6.1,1.7,1.7,1.2000000000000002,0.05,FWMF,fffea3e5
Pep Chavarría,2024-2025,Rayo Vallecano,es La Liga,1.2,1.2,1.9,3.1,1.9,3.1,-1.2,-1.2,-0.8999999999999999,0.11,DFFW,63c5e56b
Yann Karamoh,2024-2025,Torino,it Serie A,1.2,1.2,0.9,2.1,0.9,2.1,-1.2,-1.2,0.0999999999999999,0.05,MFFW,8b66d9cc
Jack Clarke,2024-2025,Ipswich Town,eng Premier League,1.2,1.2,2.3,3.5,2.3,3.5,-1.2,-1.2,1.7000000000000002,0.07,FWMF,e16932d8
Domingos André Ribeiro Almeida,2024-2025,Valencia,es La Liga,1.2,1.2,3.2,4.4,3.2,4.4,-1.2,-1.2,0.7999999999999998,0.07,MFFW,e6697917
Coba da Costa,2024-2025,Getafe,es La Liga,1.1,1.1,1.4,2.5,1.4,2.5,-0.1,-0.1,-0.3999999999999999,0.05,MFFW,0b3358f0
Eren Dinkçi,2024-2025,Freiburg,de Bundesliga,1.1,1.1,2.2,3.3000000000000003,2.2,3.3000000000000003,-1.1,-1.1,0.7999999999999998,0.08,MFFW,4ccd8957
Ben Johnson,2024-2025,Ipswich Town,eng Premier League,1.1,1.1,1.3,2.4000000000000004,1.3,2.4000000000000004,-0.1,-0.1,0.7,0.15,DFFW,9319781b
Dwight McNeil,2024-2025,Everton,eng Premier League,1.1,1.1,5.2,6.300000000000001,5.2,6.300000000000001,2.9,2.9,0.7999999999999998,0.04,MFFW,fc15fb84
