Rk,Player,Won,Lost,Won%,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
125,Dani de Wit,41,48,46.1,1153,2024-2025,26,nl NED,Bochum,de Bundesliga,28,MFFW,48a2b92a
126,Mathias Pereira Lage,35,41,46.1,1571,2024-2025,27,pt POR,Brest,fr Ligue 1,29,FWMF,8846a40f
127,Dany Mota,60,71,45.8,2104,2024-2025,26,pt POR,Monza,it Serie A,31,FWMF,efc9e31f
128,Matthis Abline,64,76,45.7,2768,2024-2025,21,fr FRA,Nantes,fr Ligue 1,34,FW,0e46fa2f
129,Alex Baena,16,19,45.7,2595,2024-2025,23,es ESP,Villarreal,es La Liga,32,MFFW,518f2234
130,Lucas Paquetá,48,57,45.7,2380,2024-2025,26,br BRA,West Ham,eng Premier League,33,MFFW,9b6f7fd5
131,Yoane Wissa,30,36,45.5,2919,2024-2025,27,cd COD,Brentford,eng Premier League,35,FW,2500cef9
132,Carlos Soler,10,12,45.5,1409,2024-2025,27,es ESP,West Ham,eng Premier League,31,MFFW,fed17f5a
133,Phil Harres,54,65,45.4,1544,2024-2025,22,de GER,Holstein Kiel,de Bundesliga,26,FW,07db670d
134,Cucho,29,35,45.3,1139,2024-2025,25,co COL,Betis,es La Liga,15,FW,71b47ab9
135,Tanguy Coulibaly,19,23,45.2,1485,2024-2025,23,fr FRA,Montpellier,fr Ligue 1,25,FWMF,05ba9d7c
136,Patrik Schick,45,55,45.0,1684,2024-2025,28,cz CZE,Leverkusen,de Bundesliga,31,FW,5d4f7d61
137,Gavi,21,26,44.7,1085,2024-2025,19,es ESP,Barcelona,es La Liga,26,MFFW,19cae58d
138,Kai Havertz,63,78,44.7,1875,2024-2025,25,de GER,Arsenal,eng Premier League,23,FWMF,fed7cb61
139,Randy Nteka,41,51,44.6,1129,2024-2025,26,ao ANG,Rayo Vallecano,es La Liga,24,FW,a6103274
140,Santiago Pierotti,49,61,44.5,1937,2024-2025,23,ar ARG,Lecce,it Serie A,36,FW,ec315772
141,Désiré Doué,8,10,44.4,1730,2024-2025,19,fr FRA,Paris S-G,fr Ligue 1,31,FWMF,9e7483ff
142,Timothy Weah,19,24,44.2,1638,2024-2025,24,us USA,Juventus,it Serie A,30,DFFW,8eec784d
143,Bilal El Khannouss,19,24,44.2,2182,2024-2025,20,ma MAR,Leicester City,eng Premier League,32,MFFW,f7042636
144,Marcus Tavernier,26,33,44.1,1939,2024-2025,25,eng ENG,Bournemouth,eng Premier League,29,FWMF,5c0da4a4
145,Carlos Martín,15,19,44.1,1333,2024-2025,22,es ESP,Alavés,es La Liga,26,FWMF,64035864
146,Juan Cruz,15,19,44.1,2257,2024-2025,24,es ESP,Leganés,es La Liga,34,FWMF,cc2dd8a5
