,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Touches,Touches,Touches,Touches,Touches,Touches,Touches,,-additional
Rk,Player,Touches,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Pos,-9999
278,Gaëtan Laborde,730,1829,2024-2025,30,fr FRA,Nice,fr Ligue 1,28,1829,20.3,20,8,0,11,4,15,7,4,4,0,730,28,74,333,333,127,726,FW,7cdda3bf
279,Santiago Pierotti,730,1937,2024-2025,23,ar ARG,Lecce,it Serie A,36,1937,21.5,22,14,1,4,2,6,4,0,0,0,730,45,148,322,279,81,730,FW,ec315772
280,Mikel Oyarzabal,729,2250,2024-2025,27,es ESP,Real Sociedad,es La Liga,35,2250,25.0,28,7,2,9,3,12,5,4,4,0,729,15,59,348,326,107,725,FW,8c3c640c
281,Alejandro Jiménez,729,1266,2024-2025,19,es ESP,Milan,it Serie A,22,1266,14.1,14,8,6,0,1,1,0,0,0,0,729,23,184,305,253,37,729,DFFW,faa13947
282,Danny Welbeck,726,2115,2024-2025,33,eng ENG,Brighton,eng Premier League,30,2115,23.5,24,6,0,10,4,14,9,1,1,0,726,18,58,318,356,102,725,FW,ce5143da
283,Romelu Lukaku,725,2843,2024-2025,31,be BEL,Napoli,it Serie A,36,2843,31.6,35,1,0,14,10,24,11,3,4,1,725,18,34,306,388,143,721,FW,5eae500a
284,David Neres,724,1283,2024-2025,27,br BRA,Napoli,it Serie A,28,1283,14.3,13,15,1,2,4,6,2,0,0,0,724,8,73,287,388,60,724,FW,4f1e6a0b
285,Daniel Maldini,724,1564,2024-2025,22,it ITA,2 Teams,it Serie A,30,1564,17.4,18,12,2,6,0,6,6,0,0,0,724,17,80,350,310,65,724,MFFW,801831fe
286,Pedro,722,1102,2024-2025,37,es ESP,Lazio,it Serie A,30,1102,12.2,6,24,6,10,1,11,8,2,2,0,722,4,69,343,319,61,720,FWMF,3ca7254a
287,Santiago Castro,722,2294,2024-2025,19,ar ARG,Bologna,it Serie A,36,2294,25.5,27,9,1,8,4,12,8,0,1,1,722,23,55,312,363,101,721,FW,ee5565ae
288,Alessandro Zanoli,720,1711,2024-2025,23,it ITA,Genoa,it Serie A,31,1711,19.0,19,12,4,1,0,1,1,0,0,0,720,29,165,298,267,43,720,FWDF,3b12b11f
289,Mohamed Ali Cho,720,1621,2024-2025,20,fr FRA,Nice,fr Ligue 1,27,1621,18.0,21,6,2,3,4,7,3,0,0,0,720,9,75,308,356,74,720,FWMF,f8405304
290,Sofiane Diop,714,1064,2024-2025,24,fr FRA,Nice,fr Ligue 1,28,1064,11.8,8,20,1,6,4,10,6,0,0,0,714,17,101,347,277,35,714,MFFW,19053e31
291,Mathias Pereira Lage,714,1571,2024-2025,27,pt POR,Brest,fr Ligue 1,29,1571,17.5,18,11,5,2,7,9,2,0,0,0,714,24,120,277,324,37,714,FWMF,8846a40f
292,Johannes Eggestein,713,1853,2024-2025,26,de GER,St. Pauli,de Bundesliga,27,1853,20.6,22,5,5,3,4,7,2,1,2,1,713,6,46,371,302,78,711,FW,d571df78
293,Fábio Silva,706,1866,2024-2025,22,pt POR,Las Palmas,es La Liga,24,1866,20.7,22,2,0,10,3,13,8,2,3,1,706,32,69,311,335,101,703,FW,e7aa9d7c
294,Ayoze Pérez,705,1970,2024-2025,31,es ESP,Villarreal,es La Liga,30,1970,21.9,22,8,0,19,2,21,19,0,0,0,705,7,66,296,355,136,705,FW,819aa8e7
295,Anuar,705,1720,2024-2025,29,ma MAR,Valladolid,es La Liga,26,1720,19.1,21,5,2,2,0,2,2,0,0,0,705,31,214,324,173,28,705,MFFW,c93231dc
296,Moise Kean,700,2704,2024-2025,24,it ITA,Fiorentina,it Serie A,32,2704,30.0,31,1,0,19,3,22,18,1,2,1,700,28,49,306,366,132,698,FW,3d50bcdb
297,Ollie Watkins,695,2598,2024-2025,28,eng ENG,Aston Villa,eng Premier League,38,2598,28.9,31,7,0,16,8,24,14,2,2,0,695,18,50,248,407,168,693,FW,aed3a70f
298,Danel Sinani,693,1250,2024-2025,27,lu LUX,St. Pauli,de Bundesliga,26,1250,13.9,14,12,7,2,2,4,2,0,0,0,693,11,61,336,302,30,693,FWMF,96ddfa79
299,Patrick Cutrone,692,2047,2024-2025,26,it ITA,Como,it Serie A,33,2047,22.7,23,10,5,7,4,11,7,0,1,1,692,5,28,281,388,119,691,FW,a4fe8cda
300,Nicolas Jackson,687,2220,2024-2025,23,sn SEN,Chelsea,eng Premier League,30,2220,24.7,28,2,1,10,5,15,10,0,0,0,687,19,50,285,361,141,687,FW,9c36ed83
301,Borja Iglesias,685,1952,2024-2025,31,es ESP,Celta Vigo,es La Liga,37,1952,21.7,24,13,1,11,3,14,11,0,0,0,685,16,48,362,284,83,685,FW,75645f0e
302,Roberto Navarro,683,1278,2024-2025,22,es ESP,Mallorca,es La Liga,23,1278,14.2,15,8,2,1,0,1,1,0,0,0,683,16,112,316,278,42,683,MFFW,c997b942
303,Jim Allevinah,682,1750,2024-2025,29,ga GAB,Angers,fr Ligue 1,28,1750,19.4,23,5,0,1,3,4,1,0,0,0,682,11,134,311,253,65,682,FW,1956b948
304,Liam Delap,682,2593,2024-2025,21,eng ENG,Ipswich Town,eng Premier League,37,2593,28.8,32,5,0,12,2,14,10,2,2,0,682,29,78,291,335,92,680,FW,dd897ee7
305,Amin Sarr,681,1907,2024-2025,23,se SWE,Hellas Verona,it Serie A,32,1907,21.2,25,7,4,4,1,5,4,0,0,0,681,21,54,302,328,58,681,FW,d5326924
306,Phillip Tietz,677,1686,2024-2025,27,de GER,Augsburg,de Bundesliga,34,1686,18.7,19,15,0,7,2,9,6,1,1,0,677,22,68,298,320,89,676,FW,3397e7b5
307,Antoine Hainaut,676,1206,2024-2025,22,fr FRA,Parma,it Serie A,25,1206,13.4,10,15,12,2,0,2,2,0,0,0,676,53,197,293,194,14,676,DFFW,6503f220
308,Musa Al-Taamari,676,1683,2024-2025,27,jo JOR,2 Teams,fr Ligue 1,26,1683,18.7,19,7,0,3,1,4,3,0,0,0,676,3,49,262,383,96,676,FWMF,f15f8b2b
309,Sorba Thomas,674,1321,2024-2025,24,wls WAL,Nantes,fr Ligue 1,25,1321,14.7,15,10,4,1,3,4,1,0,0,0,674,25,111,276,303,20,674,FWMF,8725a42e
310,Breel Embolo,668,1841,2024-2025,27,ch SUI,Monaco,fr Ligue 1,29,1841,20.5,19,10,5,6,4,10,6,0,0,0,668,13,57,289,329,121,668,FWMF,0b4f388a
311,Marcus Rashford,667,1422,2024-2025,26,eng ENG,2 Teams,eng Premier League,25,1422,15.8,16,9,1,6,3,9,5,1,1,0,667,5,49,247,381,64,666,FWMF,a1d5bd30
312,Khalil Fayad,663,1028,2024-2025,20,fr FRA,Montpellier,fr Ligue 1,20,1028,11.4,10,10,1,0,0,0,0,0,0,0,663,19,129,367,175,17,663,MFFW,faf00ab8
313,Marvin,658,1038,2024-2025,24,es ESP,Las Palmas,es La Liga,23,1038,11.5,9,14,1,0,0,0,0,0,0,0,658,32,166,292,207,19,658,DFFW,efaefda0
314,Lucas Stassin,655,1887,2024-2025,19,be BEL,Saint-Étienne,fr Ligue 1,28,1887,21.0,23,5,0,12,4,16,12,0,0,0,655,9,39,273,347,85,655,FW,a47d6f3a
315,Dominic Solanke,655,2201,2024-2025,26,eng ENG,Tottenham,eng Premier League,27,2201,24.5,25,2,1,9,3,12,8,1,1,0,655,33,74,299,288,112,654,FW,e77dc3b2
316,Artem Dovbyk,654,2418,2024-2025,27,ua UKR,Roma,it Serie A,32,2418,26.9,27,5,3,12,2,14,10,2,2,0,654,15,29,261,365,145,652,FW,5b847bb0
317,Georges Mikautadze,653,1449,2024-2025,23,ge GEO,Lyon,fr Ligue 1,34,1449,16.1,13,21,0,11,6,17,8,3,4,1,653,9,45,259,357,119,649,FW,4788cb6b
318,Mathias Honsak,646,1181,2024-2025,27,at AUT,Heidenheim,de Bundesliga,22,1181,13.1,12,10,0,5,1,6,5,0,0,0,646,39,162,288,205,33,646,FWDF,3dbdbb6a
319,Ridle Baku,646,1170,2024-2025,26,de GER,Wolfsburg,de Bundesliga,15,1170,13.0,14,1,0,2,1,3,2,0,0,0,646,15,112,307,234,34,646,FWMF,442b56fa
320,Assane Diao,645,1529,2024-2025,18,sn SEN,2 Teams,2 Comps,25,1529,17.0,16,9,8,9,3,12,9,0,0,0,645,20,77,233,341,77,645,FWMF,8ae7d0ec
321,Gorka Guruzeta,643,1840,2024-2025,27,es ESP,Athletic Club,es La Liga,36,1840,20.4,21,15,1,7,2,9,7,0,0,0,643,23,67,342,240,78,643,FW,6b5ea2f4
322,Lorenzo Lucca,641,2353,2024-2025,23,it ITA,Udinese,it Serie A,33,2353,26.1,27,6,0,12,1,13,11,1,1,0,641,27,57,335,259,109,640,FW,83c06f3a
323,Georginio Rutter,641,1656,2024-2025,22,fr FRA,Brighton,eng Premier League,28,1656,18.4,19,9,0,5,3,8,5,0,0,0,641,20,83,246,326,79,641,MFFW,c64c01fc
324,Erling Haaland,639,2736,2024-2025,24,no NOR,Manchester City,eng Premier League,31,2736,30.4,31,0,1,22,3,25,19,3,4,1,639,22,40,222,384,190,635,FW,1f44ac21
325,Karim Adeyemi,636,1433,2024-2025,22,de GER,Dortmund,de Bundesliga,25,1433,15.9,17,8,0,7,6,13,7,0,0,0,636,9,51,231,365,88,636,FWMF,501055d8
326,Arnaut Danjuma,636,1535,2024-2025,27,nl NED,2 Teams,es La Liga,28,1535,17.1,18,10,5,4,0,4,4,0,0,0,636,9,61,157,423,89,636,FW,f08490a6
327,Hugo Duro,634,2166,2024-2025,24,es ESP,Valencia,es La Liga,31,2166,24.1,25,6,2,11,2,13,10,1,1,0,634,15,47,328,265,90,633,FW,37e103f8
328,Adama Boiro,627,1101,2024-2025,22,es ESP,Athletic Club,es La Liga,18,1101,12.2,13,5,18,0,0,0,0,0,0,0,627,25,158,309,165,14,627,DFFW,e7992f7b
329,Ben Johnson,626,1354,2024-2025,24,eng ENG,Ipswich Town,eng Premier League,23,1354,15.0,14,9,9,1,2,3,1,0,0,0,626,60,246,220,163,12,626,DFFW,9319781b
330,Jesper Lindstrøm,625,1239,2024-2025,24,dk DEN,Everton,eng Premier League,25,1239,13.8,15,10,3,0,1,1,0,0,0,0,625,22,127,206,303,40,625,FW,37dc1a48
331,Thierno Barry,624,2323,2024-2025,21,fr FRA,Villarreal,es La Liga,35,2323,25.8,25,10,0,11,4,15,10,1,1,0,624,22,44,246,346,126,623,FW,52c3244b
332,Albert Guðmundsson,624,1273,2024-2025,27,is ISL,Fiorentina,it Serie A,24,1273,14.1,16,8,3,6,1,7,4,2,2,0,624,9,79,332,220,32,622,FWMF,b79858d5
333,Jeong Woo-yeong,621,1263,2024-2025,24,kr KOR,Union Berlin,de Bundesliga,23,1263,14.0,17,6,0,3,2,5,3,0,0,0,621,12,79,261,296,34,621,MFFW,6190474d
334,Steven Skrzybski,619,1323,2024-2025,31,de GER,Holstein Kiel,de Bundesliga,24,1323,14.7,15,9,0,6,3,9,5,1,1,0,619,9,97,311,221,45,618,MFFW,58ce23e5
335,Maximilian Beier,618,1591,2024-2025,21,de GER,Dortmund,de Bundesliga,29,1591,17.7,17,12,1,8,5,13,8,0,0,0,618,16,73,245,308,88,618,FWMF,5db45ee5
336,Zakaria Aboukhlal,613,1901,2024-2025,24,ma MAR,Toulouse,fr Ligue 1,26,1901,21.1,22,4,0,7,2,9,6,1,2,1,613,6,59,196,363,113,611,MFFW,c2a6033c
337,Carlos Martín,612,1333,2024-2025,22,es ESP,Alavés,es La Liga,26,1333,14.8,16,10,10,2,2,4,2,0,0,0,612,21,117,265,236,40,612,FWMF,64035864
338,Andrea Colpani,609,1450,2024-2025,25,it ITA,Fiorentina,it Serie A,25,1450,16.1,18,7,2,2,1,3,2,0,0,0,609,9,62,251,299,49,609,FWMF,6499048c
339,Julio Enciso,608,1163,2024-2025,20,py PAR,2 Teams,eng Premier League,25,1163,12.9,14,11,7,2,3,5,2,0,0,0,608,7,69,274,283,43,608,MFFW,9cfbad36
340,Oliver McBurnie,605,1837,2024-2025,28,sct SCO,Las Palmas,es La Liga,34,1837,20.4,20,14,4,3,6,9,3,0,0,0,605,29,57,307,247,93,605,FW,78b8ac63
341,Alexander Sørloth,602,1566,2024-2025,28,no NOR,Atlético Madrid,es La Liga,35,1566,17.4,15,20,2,20,2,22,19,1,1,0,602,29,58,276,276,116,601,FW,e92cd3f7
342,Ramón Terrats,599,1350,2024-2025,23,es ESP,2 Teams,es La Liga,26,1350,15.0,16,10,5,4,1,5,4,0,0,0,599,23,102,273,240,25,599,MFFW,f36016a5
343,Harry Wilson,598,1162,2024-2025,27,wls WAL,Fulham,eng Premier League,25,1162,12.9,12,13,3,6,1,7,6,0,0,0,598,11,81,203,324,63,598,FWMF,c6dc9ecd
344,Ernest Nuamah,597,1052,2024-2025,20,gh GHA,Lyon,fr Ligue 1,23,1052,11.7,13,10,1,3,1,4,3,0,0,0,597,13,100,214,300,51,597,FWMF,234a703c
345,Nicolas Viola,595,1267,2024-2025,34,it ITA,Cagliari,it Serie A,27,1267,14.1,18,9,10,3,1,4,3,0,0,0,595,8,57,294,255,34,595,FWMF,45392b06
346,Fares Chaïbi,588,1013,2024-2025,21,dz ALG,Eint Frankfurt,de Bundesliga,26,1013,11.3,10,16,4,1,3,4,1,0,0,0,588,30,108,240,246,34,588,MFFW,357103bd
347,Joshua Zirkzee,587,1402,2024-2025,23,nl NED,Manchester Utd,eng Premier League,32,1402,15.6,14,18,0,3,1,4,3,0,0,0,587,16,71,303,219,56,587,FWMF,028e70b9
348,Kamaldeen Sulemana,587,1402,2024-2025,22,gh GHA,Southampton,eng Premier League,26,1402,15.6,17,9,2,1,1,2,1,0,0,0,587,17,92,219,301,59,587,FWMF,a62f8bf1
349,Jamie Vardy,586,2823,2024-2025,37,eng ENG,Leicester City,eng Premier League,35,2823,31.4,35,0,0,9,4,13,8,1,2,1,586,30,61,272,260,111,584,FW,45963054
350,Pablo Durán,584,1394,2024-2025,23,es ESP,Celta Vigo,es La Liga,27,1394,15.5,15,12,10,4,4,8,4,0,0,0,584,11,68,257,265,64,584,FWMF,6db116ec
351,Léo Scienza,584,1153,2024-2025,25,br BRA,Heidenheim,de Bundesliga,25,1153,12.8,13,12,6,3,3,6,3,0,0,0,584,8,71,248,286,44,584,FWMF,79064bc9
352,Tanguy Coulibaly,583,1485,2024-2025,23,fr FRA,Montpellier,fr Ligue 1,25,1485,16.5,17,8,2,3,0,3,3,0,0,0,583,7,95,228,272,65,583,FWMF,05ba9d7c
353,Valentin Mihaila,582,1288,2024-2025,24,ro ROU,Parma,it Serie A,21,1288,14.3,16,5,2,0,3,3,0,0,0,0,582,5,58,226,311,31,582,FWMF,81a4c239
354,Ermedin Demirović,582,1855,2024-2025,26,ba BIH,Stuttgart,de Bundesliga,34,1855,20.6,20,14,0,15,1,16,15,0,2,2,582,10,45,239,301,126,580,FW,ed79b7d3
355,Oumar Diakité,580,1628,2024-2025,20,ci CIV,Reims,fr Ligue 1,26,1628,18.1,20,6,3,4,1,5,4,0,1,1,580,13,73,282,239,57,579,FW,44435c8f
356,Patrik Schick,578,1684,2024-2025,28,cz CZE,Leverkusen,de Bundesliga,31,1684,18.7,19,12,2,21,0,21,20,1,1,0,578,16,52,244,287,108,577,FW,5d4f7d61
357,Emanuel Emegha,577,2293,2024-2025,21,nl NED,Strasbourg,fr Ligue 1,27,2293,25.5,27,0,0,14,3,17,14,0,0,0,577,36,86,249,249,99,577,FW,a0c590b9
358,Joshua King,574,1673,2024-2025,32,no NOR,Toulouse,fr Ligue 1,28,1673,18.6,21,7,0,6,3,9,6,0,0,0,574,22,70,238,282,94,574,FWMF,43458538
359,Vitinha,572,1328,2024-2025,24,pt POR,Genoa,it Serie A,25,1328,14.8,16,9,1,2,3,5,2,0,0,0,572,32,91,255,242,54,572,FWMF,74d4cec6
360,Badredine Bouanani,571,1099,2024-2025,19,dz ALG,Nice,fr Ligue 1,26,1099,12.2,11,15,5,3,3,6,2,1,1,0,571,4,53,228,299,43,570,MFFW,0400dd2f
361,Gerrit Holtmann,571,1136,2024-2025,29,ph PHI,Bochum,de Bundesliga,23,1136,12.6,12,11,2,2,1,3,2,0,0,0,571,23,111,188,281,28,571,DFFW,2979c05a
362,Mathys Tel,570,1167,2024-2025,19,fr FRA,2 Teams,2 Comps,21,1167,13.0,13,8,10,2,2,4,1,1,1,0,570,9,72,206,306,54,569,FW,829aa60c
363,Noah Weißhaupt,568,1240,2024-2025,22,de GER,2 Teams,de Bundesliga,22,1240,13.8,13,9,8,1,0,1,1,0,0,0,568,7,65,210,301,48,568,FWMF,dd676a97
364,Dušan Vlahović,564,1784,2024-2025,24,rs SRB,Juventus,it Serie A,29,1784,19.8,21,8,3,10,4,14,6,4,4,0,564,14,28,238,303,125,560,FW,79443529
365,Samuel Essende,564,1636,2024-2025,26,cd COD,Augsburg,de Bundesliga,30,1636,18.2,21,9,1,7,2,9,7,0,0,0,564,10,43,262,270,93,564,FW,821550ce
366,Williot Swedberg,562,1348,2024-2025,20,se SWE,Celta Vigo,es La Liga,32,1348,15.0,15,17,1,4,5,9,4,0,0,0,562,6,53,222,293,72,562,FWMF,184fe4b2
367,Cyle Larin,561,1764,2024-2025,29,ca CAN,Mallorca,es La Liga,32,1764,19.6,21,11,4,7,2,9,6,1,1,0,561,20,55,266,247,72,560,FW,e7af9060
368,Dani de Wit,558,1153,2024-2025,26,nl NED,Bochum,de Bundesliga,28,1153,12.8,11,17,5,2,1,3,2,0,0,0,558,27,97,315,146,37,558,MFFW,48a2b92a
369,Evanilson,558,2319,2024-2025,24,br BRA,Bournemouth,eng Premier League,31,2319,25.8,28,3,1,10,1,11,10,0,1,1,558,23,56,208,299,127,557,FW,6f3cc2fe
370,Benjamín Domínguez,555,1281,2024-2025,20,ar ARG,Bologna,it Serie A,24,1281,14.2,16,8,11,3,2,5,3,0,0,0,555,6,34,200,335,55,555,FW,a83b47fa
371,Jack Clarke,553,1181,2024-2025,23,eng ENG,Ipswich Town,eng Premier League,32,1181,13.1,12,20,3,0,4,4,0,0,0,0,553,24,125,229,215,38,553,FWMF,e16932d8
372,Eren Dinkçi,552,1196,2024-2025,22,de GER,Freiburg,de Bundesliga,23,1196,13.3,13,10,2,0,3,3,0,0,0,0,552,6,71,259,233,36,552,MFFW,4ccd8957
373,Moritz Broschinski,552,1390,2024-2025,23,de GER,Bochum,de Bundesliga,33,1390,15.4,15,18,1,1,3,4,1,0,0,0,552,19,54,211,297,68,552,FWMF,bbd79358
374,Alfon,551,1371,2024-2025,25,es ESP,Celta Vigo,es La Liga,26,1371,15.2,14,12,9,5,2,7,5,0,0,0,551,2,44,139,374,114,551,FWMF,1c772b46
375,Carles Pérez,551,1431,2024-2025,26,es ESP,Getafe,es La Liga,27,1431,15.9,15,12,11,3,0,3,3,0,0,0,551,16,74,198,291,44,551,MFFW,a8f21b9f
376,Giacomo Raspadori,549,1103,2024-2025,24,it ITA,Napoli,it Serie A,26,1103,12.3,11,15,12,6,1,7,6,0,0,0,549,10,62,246,247,54,549,FWMF,6e058f06
377,Simon Adingra,548,1097,2024-2025,22,ci CIV,Brighton,eng Premier League,29,1097,12.2,12,17,6,2,2,4,2,0,0,0,548,10,66,174,315,76,548,FWMF,4dcec659
378,Leon Bailey,545,1139,2024-2025,26,jm JAM,Aston Villa,eng Premier League,24,1139,12.7,14,10,5,1,2,3,1,0,0,0,545,18,77,155,323,70,545,FWMF,3a233281
379,Junior Adamu,534,1545,2024-2025,23,at AUT,Freiburg,de Bundesliga,25,1545,17.2,19,6,5,2,2,4,2,0,0,0,534,21,53,252,234,80,534,FW,82e12fe7
380,Joe Willock,533,1086,2024-2025,24,eng ENG,Newcastle Utd,eng Premier League,32,1086,12.1,11,21,1,0,2,2,0,0,0,0,533,12,74,231,239,55,533,MFFW,a3b03921
381,Jesus Rodríguez,532,1111,2024-2025,18,es ESP,Betis,es La Liga,21,1111,12.3,15,6,3,2,0,2,2,0,0,0,532,5,47,212,284,69,532,FW,f9f74e43
382,Matteo Cancellieri,531,1424,2024-2025,22,it ITA,Parma,it Serie A,27,1424,15.8,19,8,2,3,0,3,3,0,0,0,531,20,103,210,230,40,531,FWMF,b6a1cdf9
383,Nathan Tella,529,1359,2024-2025,25,ng NGA,Leverkusen,de Bundesliga,27,1359,15.1,17,10,3,2,4,6,2,0,0,0,529,8,54,189,290,67,529,MFFW,f1e94cd6
384,Jeremie Boga,529,1054,2024-2025,27,ci CIV,Nice,fr Ligue 1,21,1054,11.7,12,9,3,1,2,3,1,0,0,0,529,5,65,204,268,57,529,MFFW,fe012aca
385,Dominic Calvert-Lewin,520,1609,2024-2025,27,eng ENG,Everton,eng Premier League,26,1609,17.9,19,7,0,3,1,4,3,0,0,0,520,26,45,215,265,88,520,FW,59e6e5bf
386,Alexander Bernhardsson,520,1263,2024-2025,25,se SWE,Holstein Kiel,de Bundesliga,19,1263,14.0,15,4,1,7,2,9,7,0,0,0,520,23,109,223,202,41,520,FWMF,dea1d183
387,Beto,520,1534,2024-2025,26,gw GNB,Everton,eng Premier League,30,1534,17.0,15,15,8,8,0,8,8,0,0,0,520,29,51,233,242,86,520,FW,ed5c0319
388,John Yeboah,517,1226,2024-2025,24,ec ECU,Venezia,it Serie A,33,1226,13.6,11,22,0,1,1,2,1,0,0,0,517,0,28,200,298,55,517,FWMF,8dfdc6c3
389,Rasmus Højlund,515,2004,2024-2025,21,dk DEN,Manchester Utd,eng Premier League,32,2004,22.3,23,9,2,4,0,4,4,0,0,0,515,6,36,251,237,74,515,FW,491a433d
390,Abdallah Sima,510,1238,2024-2025,23,sn SEN,Brest,fr Ligue 1,27,1238,13.8,14,13,1,7,2,9,7,0,0,0,510,10,66,194,256,66,510,FWMF,fdbde523
391,Daniel Mosquera,509,1375,2024-2025,24,co COL,Hellas Verona,it Serie A,35,1375,15.3,12,23,2,5,1,6,5,0,0,0,509,12,36,246,236,74,509,FW,091b9eb8
392,Coba da Costa,504,1006,2024-2025,22,es ESP,Getafe,es La Liga,19,1006,11.2,12,7,11,1,1,2,1,0,0,0,504,10,75,191,245,47,504,MFFW,0b3358f0
393,Esteban Lepaul,504,1629,2024-2025,24,fr FRA,Angers,fr Ligue 1,28,1629,18.1,18,10,4,9,0,9,9,0,0,0,504,14,50,264,197,60,504,FW,85ce1949
394,Christian Kouamé,503,1129,2024-2025,26,ci CIV,2 Teams,it Serie A,26,1129,12.5,10,16,3,1,1,2,1,0,0,0,503,16,38,231,237,57,503,FWMF,58e933d2
395,Arnaud Nordin,499,1166,2024-2025,26,fr FRA,Montpellier,fr Ligue 1,16,1166,13.0,14,2,0,4,1,5,3,1,2,1,499,6,63,190,259,49,497,FW,7b9a9e25
396,Ferrán Torres,498,1106,2024-2025,24,es ESP,Barcelona,es La Liga,27,1106,12.3,12,15,2,10,6,16,10,0,0,0,498,3,30,153,317,81,498,FWMF,9e1035f8
397,Randal Kolo Muani,496,1518,2024-2025,25,fr FRA,2 Teams,2 Comps,26,1518,16.9,15,11,4,10,2,12,8,2,2,0,496,8,36,188,276,102,494,FW,c0b3669f
398,Marco Grüll,495,1181,2024-2025,26,at AUT,Werder Bremen,de Bundesliga,30,1181,13.1,13,17,1,6,1,7,6,0,0,0,495,6,43,215,245,53,495,FWMF,8babb812
399,Joel Pohjanpalo,491,1603,2024-2025,29,fi FIN,Venezia,it Serie A,20,1603,17.8,19,1,0,6,0,6,3,3,4,1,491,24,67,240,187,66,487,FW,ea003d07
400,Gianluca Gaetano,490,1009,2024-2025,24,it ITA,2 Teams,it Serie A,28,1009,11.2,8,20,7,2,4,6,2,0,0,0,490,10,44,225,224,43,490,MFFW,3b387cc7
401,M'Bala Nzola,490,1460,2024-2025,27,ao ANG,Lens,fr Ligue 1,21,1460,16.2,16,5,1,6,1,7,6,0,0,0,490,4,29,176,290,95,490,FW,a4948e67
402,Tim Skarke,487,1164,2024-2025,27,de GER,Union Berlin,de Bundesliga,33,1164,12.9,11,22,1,0,2,2,0,0,0,0,487,10,71,204,216,31,487,FWMF,65857fdf
403,Wahbi Khazri,486,1118,2024-2025,33,tn TUN,Montpellier,fr Ligue 1,30,1118,12.4,10,20,2,1,1,2,1,0,0,0,486,14,63,213,219,34,486,FWMF,2677a1de
404,Diogo Jota,485,1196,2024-2025,27,pt POR,Liverpool,eng Premier League,26,1196,13.3,14,12,3,6,3,9,6,0,0,0,485,6,35,198,259,97,485,FW,178ae8f8
405,Peque,485,1134,2024-2025,21,es ESP,Sevilla,es La Liga,26,1134,12.6,14,12,11,1,1,2,1,0,0,0,485,3,51,253,186,35,485,MFFW,cb971b4f
406,Phil Harres,481,1544,2024-2025,22,de GER,Holstein Kiel,de Bundesliga,26,1544,17.2,17,9,1,8,1,9,8,0,0,0,481,22,59,262,165,61,481,FW,07db670d
407,Zito Luvumbo,477,1606,2024-2025,22,ao ANG,Cagliari,it Serie A,26,1606,17.8,19,7,2,2,2,4,2,0,0,0,477,4,44,166,277,67,477,FWMF,b09e0873
408,Miguel,472,1724,2024-2025,24,es ESP,Leganés,es La Liga,34,1724,19.2,17,17,3,1,3,4,0,1,2,1,472,26,51,205,222,60,470,FW,6763373d
409,Cucho,467,1139,2024-2025,25,co COL,Betis,es La Liga,15,1139,12.7,14,1,1,5,1,6,5,0,0,0,467,5,23,210,237,61,467,FW,71b47ab9
410,Pontus Almqvist,462,1112,2024-2025,25,se SWE,Parma,it Serie A,29,1112,12.4,10,19,7,1,1,2,1,0,0,0,462,11,67,154,253,53,462,FWMF,0917188a
411,Milan Đurić,462,1538,2024-2025,34,ba BIH,2 Teams,it Serie A,27,1538,17.1,16,11,3,5,1,6,5,0,0,0,462,20,49,255,163,48,462,FW,405f6586
412,Casper Tengstedt,458,1517,2024-2025,24,dk DEN,Hellas Verona,it Serie A,25,1517,16.9,20,5,4,6,1,7,5,1,1,0,458,30,47,199,217,58,457,FW,ff2fb007
413,Mostafa Mohamed,452,1252,2024-2025,26,eg EGY,Nantes,fr Ligue 1,30,1252,13.9,11,19,0,5,0,5,5,0,0,0,452,34,69,177,217,76,452,FW,595e6f3e
414,Mama Samba Baldé,449,1182,2024-2025,28,gw GNB,2 Teams,fr Ligue 1,29,1182,13.1,12,17,0,2,3,5,2,0,0,0,449,14,59,172,228,64,449,FW,fb14aa28
415,Eldor Shomurodov,446,1097,2024-2025,29,uz UZB,Roma,it Serie A,27,1097,12.2,11,16,10,4,4,8,4,0,0,0,446,5,33,182,236,52,446,FWMF,57469b2d
416,Alex Sola,446,1029,2024-2025,25,es ESP,Getafe,es La Liga,19,1029,11.4,13,6,16,0,1,1,0,0,0,0,446,8,63,166,225,35,446,MFFW,5fa714d5
417,Elif Elmas,444,1021,2024-2025,24,mk MKD,Torino,it Serie A,13,1021,11.3,12,1,1,4,0,4,4,0,0,0,444,5,44,187,220,38,444,FWMF,cf007308
418,Paul Onuachu,440,1050,2024-2025,30,ng NGA,Southampton,eng Premier League,25,1050,11.7,11,14,3,4,1,5,4,0,0,0,440,17,45,235,163,67,440,FW,c06d1086
419,Unai Gómez,439,1284,2024-2025,21,es ESP,Athletic Club,es La Liga,32,1284,14.3,14,18,4,1,3,4,1,0,0,0,439,20,63,215,168,21,439,MFFW,37db6cae
420,Thijs Dallinga,439,1154,2024-2025,23,nl NED,Bologna,it Serie A,31,1154,12.8,11,20,7,3,2,5,3,0,0,0,439,15,28,199,214,65,439,FW,b70afb45
