,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,GCA,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Pos,-9999
282,Hugo Duro,5,2177,2024-2025,24,es ESP,Valencia,es La Liga,31,2177,24.2,25,6,2,11,2,13,10,1,1,0,5,1,0,0,1,3,0,FW,37e103f8
283,Gianluca Gaetano,5,1017,2024-2025,24,it ITA,2 Teams,it Serie A,28,1017,11.3,8,20,7,2,4,6,2,0,0,0,5,5,0,0,0,0,0,MFFW,3b387cc7
284,Mathias Honsak,5,1186,2024-2025,27,at AUT,Heidenheim,de Bundesliga,22,1186,13.2,12,10,0,5,1,6,5,0,0,0,5,0,2,3,0,0,0,FWDF,3dbdbb6a
285,Facundo Buonanotte,5,1530,2024-2025,19,ar ARG,Leicester City,eng Premier League,31,1530,17.0,14,17,3,5,2,7,5,0,0,0,5,1,2,2,0,0,0,FWMF,468a7a91
286,Isaac Palazón Camacho,5,2176,2024-2025,29,es ESP,Rayo Vallecano,es La Liga,35,2176,24.2,25,10,0,4,4,8,4,0,0,0,5,2,3,0,0,0,0,MFFW,49dbab27
287,Neal Maupay,5,1051,2024-2025,27,fr FRA,2 Teams,2 Comps,22,1051,11.7,13,9,11,4,4,8,4,0,0,0,5,5,0,0,0,0,0,FWMF,4bcf39f6
288,Eren Dinkçi,5,1204,2024-2025,22,de GER,Freiburg,de Bundesliga,23,1204,13.4,13,10,2,0,3,3,0,0,0,0,5,5,0,0,0,0,0,MFFW,4ccd8957
289,Chris Wood,5,2980,2024-2025,32,nz NZL,Nott'ham Forest,eng Premier League,36,2980,33.1,35,1,0,20,3,23,17,3,3,0,5,4,0,0,0,0,1,FW,4e9a0555
290,Gianluca Caprari,5,1666,2024-2025,31,it ITA,Monza,it Serie A,34,1666,18.5,18,16,0,3,2,5,1,2,2,0,5,5,0,0,0,0,0,MFFW,54e53b7e
291,Steven Skrzybski,5,1333,2024-2025,31,de GER,Holstein Kiel,de Bundesliga,24,1333,14.8,15,9,0,6,3,9,5,1,1,0,5,4,1,0,0,0,0,MFFW,58ce23e5
292,Jeong Woo-yeong,5,1278,2024-2025,24,kr KOR,Union Berlin,de Bundesliga,23,1278,14.2,17,6,0,3,2,5,3,0,0,0,5,3,1,1,0,0,0,MFFW,6190474d
293,Andrea Colpani,5,1465,2024-2025,25,it ITA,Fiorentina,it Serie A,25,1465,16.3,18,7,2,2,1,3,2,0,0,0,5,3,0,0,2,0,0,FWMF,6499048c
294,Iván Sánchez,5,1413,2024-2025,31,es ESP,Valladolid,es La Liga,32,1413,15.7,11,21,6,2,1,3,2,0,0,0,5,5,0,0,0,0,0,MFFW,70107d4d
295,Himad Abdelli,5,2849,2024-2025,24,dz ALG,Angers,fr Ligue 1,32,2849,31.7,32,0,0,6,1,7,3,3,4,1,5,3,0,2,0,0,0,MFFW,7978cbf0
296,Bryan Gil,5,1738,2024-2025,23,es ESP,Girona,es La Liga,25,1738,19.3,21,4,0,3,3,6,3,0,0,0,5,5,0,0,0,0,0,FWMF,7b5ab7f2
297,Ayoze Pérez,5,1982,2024-2025,31,es ESP,Villarreal,es La Liga,30,1982,22.0,22,8,0,19,2,21,19,0,0,0,5,2,0,2,1,0,0,FW,819aa8e7
298,Valentin Mihaila,5,1300,2024-2025,24,ro ROU,Parma,it Serie A,21,1300,14.4,16,5,2,0,3,3,0,0,0,0,5,3,2,0,0,0,0,FWMF,81a4c239
299,Sergio Camello,5,1148,2024-2025,23,es ESP,Rayo Vallecano,es La Liga,23,1148,12.8,14,9,2,3,2,5,3,0,0,0,5,2,0,2,0,0,1,FW,873619c6
300,Marco Grüll,5,1192,2024-2025,26,at AUT,Werder Bremen,de Bundesliga,30,1192,13.2,13,17,1,6,1,7,6,0,0,0,5,2,0,0,1,2,0,FWMF,8babb812
301,Mikel Oyarzabal,5,2268,2024-2025,27,es ESP,Real Sociedad,es La Liga,35,2268,25.2,28,7,2,9,3,12,5,4,4,0,5,3,0,0,0,2,0,FW,8c3c640c
302,Ben Johnson,5,1357,2024-2025,24,eng ENG,Ipswich Town,eng Premier League,23,1357,15.1,14,9,9,1,2,3,1,0,0,0,5,4,0,0,1,0,0,DFFW,9319781b
303,Giorgos Masouras,5,1065,2024-2025,30,gr GRE,Bochum,de Bundesliga,14,1065,11.8,12,2,0,2,1,3,2,0,0,0,5,2,0,0,3,0,0,FWMF,9d689a5b
304,Alexandre Lacazette,5,2067,2024-2025,33,fr FRA,Lyon,fr Ligue 1,30,2067,23.0,24,6,0,15,2,17,10,5,6,1,5,2,0,0,3,0,0,FW,9dbb75ca
305,M'Bala Nzola,5,1468,2024-2025,27,ao ANG,Lens,fr Ligue 1,21,1468,16.3,16,5,1,6,1,7,6,0,0,0,5,3,0,1,1,0,0,FW,a4948e67
306,Thijs Dallinga,5,1162,2024-2025,23,nl NED,Bologna,it Serie A,31,1162,12.9,11,20,7,3,2,5,3,0,0,0,5,3,0,0,0,1,1,FW,b70afb45
307,Albert Guðmundsson,5,1285,2024-2025,27,is ISL,Fiorentina,it Serie A,24,1285,14.3,16,8,3,6,1,7,4,2,2,0,5,3,0,0,0,2,0,FWMF,b79858d5
308,Shavy Babicka,5,1195,2024-2025,24,ga GAB,Toulouse,fr Ligue 1,30,1195,13.3,11,19,2,4,2,6,4,0,0,0,5,3,0,1,0,1,0,MFFW,c6f0d5d4
309,Riccardo Orsolini,5,1892,2024-2025,27,it ITA,Bologna,it Serie A,30,1892,21.0,23,7,3,15,4,19,12,3,3,0,5,4,0,0,0,1,0,FW,e14ec482
310,Jack Clarke,5,1192,2024-2025,23,eng ENG,Ipswich Town,eng Premier League,32,1192,13.2,12,20,3,0,4,4,0,0,0,0,5,4,1,0,0,0,0,FWMF,e16932d8
311,Mamadou Sylla,5,1594,2024-2025,30,sn SEN,Valladolid,es La Liga,29,1594,17.7,17,12,6,5,1,6,1,4,4,0,5,2,0,1,0,2,0,FWMF,e5ec95f8
312,Fábio Silva,5,1879,2024-2025,22,pt POR,Las Palmas,es La Liga,24,1879,20.9,22,2,0,10,3,13,8,2,3,1,5,3,0,1,1,0,0,FW,e7aa9d7c
313,Alexander Sørloth,5,1578,2024-2025,28,no NOR,Atlético Madrid,es La Liga,35,1578,17.5,15,20,2,20,2,22,19,1,1,0,5,2,0,2,1,0,0,FW,e92cd3f7
314,Che Adams,5,2662,2024-2025,28,sct SCO,Torino,it Serie A,36,2662,29.6,30,6,1,9,3,12,9,0,1,1,5,4,0,0,1,0,0,FW,f2bf1b0f
315,Emmanuel Gyasi,5,3225,2024-2025,30,gh GHA,Empoli,it Serie A,37,3225,35.8,37,0,0,2,1,3,2,0,0,0,5,4,1,0,0,0,0,DFFW,f9758dae
316,Jesus Rodríguez,5,1126,2024-2025,18,es ESP,Betis,es La Liga,21,1126,12.5,15,6,3,2,0,2,2,0,0,0,5,3,0,0,1,1,0,FW,f9f74e43
317,Mama Samba Baldé,5,1193,2024-2025,28,gw GNB,2 Teams,fr Ligue 1,29,1193,13.3,12,17,0,2,3,5,2,0,0,0,5,4,0,0,0,1,0,FW,fb14aa28
318,Tete Morente,4,2034,2024-2025,27,es ESP,Lecce,it Serie A,31,2034,22.6,23,8,5,3,2,5,3,0,0,0,4,2,1,1,0,0,0,FWMF,004d185e
319,Anass Zaroury,4,1416,2024-2025,23,ma MAR,Lens,fr Ligue 1,28,1416,15.7,16,12,4,2,2,4,2,0,0,0,4,3,0,0,0,1,0,FWMF,07d65234
320,Coba da Costa,4,1014,2024-2025,22,es ESP,Getafe,es La Liga,19,1014,11.3,12,7,11,1,1,2,1,0,0,0,4,3,0,0,1,0,0,MFFW,0b3358f0
321,Gavi,4,1094,2024-2025,19,es ESP,Barcelona,es La Liga,26,1094,12.2,14,12,3,1,1,2,1,0,0,0,4,4,0,0,0,0,0,MFFW,19cae58d
322,Nicolás González,4,1767,2024-2025,26,ar ARG,Juventus,it Serie A,26,1767,19.6,23,3,1,3,2,5,3,0,0,0,4,3,0,0,1,0,0,FWMF,2374aaca
323,Leon Bailey,4,1150,2024-2025,26,jm JAM,Aston Villa,eng Premier League,24,1150,12.8,14,10,5,1,2,3,1,0,0,0,4,4,0,0,0,0,0,FWMF,3a233281
324,Alejo Véliz,4,1134,2024-2025,20,ar ARG,Espanyol,es La Liga,27,1134,12.6,10,17,11,1,0,1,1,0,0,0,4,2,0,0,0,2,0,FW,3f7bafbe
325,Joshua King,4,1688,2024-2025,32,no NOR,Toulouse,fr Ligue 1,28,1688,18.8,21,7,0,6,3,9,6,0,0,0,4,3,0,0,0,1,0,FWMF,43458538
326,Ridle Baku,4,1176,2024-2025,26,de GER,Wolfsburg,de Bundesliga,15,1176,13.1,14,1,0,2,1,3,2,0,0,0,4,3,0,0,0,1,0,FWMF,442b56fa
327,Oumar Diakité,4,1646,2024-2025,20,ci CIV,Reims,fr Ligue 1,26,1646,18.3,20,6,3,4,1,5,4,0,1,1,4,4,0,0,0,0,0,FW,44435c8f
328,Nicolas Viola,4,1284,2024-2025,34,it ITA,Cagliari,it Serie A,27,1284,14.3,18,9,10,3,1,4,3,0,0,0,4,2,1,0,0,1,0,FWMF,45392b06
329,Denzel Dumfries,4,1959,2024-2025,28,nl NED,Inter,it Serie A,29,1959,21.8,20,9,4,7,2,9,7,0,0,0,4,2,0,0,1,1,0,DFFW,481c9ece
330,Darwin Núñez,4,1139,2024-2025,25,uy URU,Liverpool,eng Premier League,30,1139,12.7,8,22,5,5,2,7,5,0,0,0,4,3,0,0,0,1,0,FW,4d77b365
331,Dominic Calvert-Lewin,4,1620,2024-2025,27,eng ENG,Everton,eng Premier League,26,1620,18.0,19,7,0,3,1,4,3,0,0,0,4,1,0,2,0,1,0,FW,59e6e5bf
332,Adrian Beck,4,1609,2024-2025,27,de GER,Heidenheim,de Bundesliga,32,1609,17.9,18,14,1,4,1,5,4,0,0,0,4,2,1,1,0,0,0,MFFW,616c09f5
333,Tim Skarke,4,1174,2024-2025,27,de GER,Union Berlin,de Bundesliga,33,1174,13.0,11,22,1,0,2,2,0,0,0,0,4,3,0,0,1,0,0,FWMF,65857fdf
334,Adam Armstrong,4,1258,2024-2025,27,eng ENG,Southampton,eng Premier League,20,1258,14.0,15,5,4,2,2,4,2,0,1,1,4,1,0,0,3,0,0,FWMF,68c720b5
335,Carles Aleñá,4,1555,2024-2025,26,es ESP,2 Teams,es La Liga,24,1555,17.3,18,6,8,0,2,2,0,0,0,0,4,2,1,0,0,1,0,MFFW,6c811eb7
336,Pablo Durán,4,1405,2024-2025,23,es ESP,Celta Vigo,es La Liga,27,1405,15.6,15,12,10,4,4,8,4,0,0,0,4,3,0,0,1,0,0,FWMF,6db116ec
337,Giacomo Raspadori,4,1112,2024-2025,24,it ITA,Napoli,it Serie A,26,1112,12.4,11,15,12,6,1,7,6,0,0,0,4,2,0,0,0,2,0,FWMF,6e058f06
338,Lilian Raolisoa,4,1326,2024-2025,24,fr FRA,Angers,fr Ligue 1,29,1326,14.7,14,15,1,0,3,3,0,0,0,0,4,2,2,0,0,0,0,DFFW,79a793b7
339,Morgan Guilavogui,4,1821,2024-2025,26,gn GUI,St. Pauli,de Bundesliga,25,1821,20.2,21,4,0,6,2,8,6,0,0,0,4,2,0,1,1,0,0,FWMF,79b51257
340,Mathys Tel,4,1174,2024-2025,19,fr FRA,2 Teams,2 Comps,21,1174,13.0,13,8,10,2,2,4,1,1,1,0,4,3,0,0,0,1,0,FW,829aa60c
341,Lorenzo Lucca,4,2366,2024-2025,23,it ITA,Udinese,it Serie A,33,2366,26.3,27,6,0,12,1,13,11,1,1,0,4,0,0,1,3,0,0,FW,83c06f3a
342,Tomáš Suslov,4,2100,2024-2025,22,sk SVK,Hellas Verona,it Serie A,31,2100,23.3,27,4,0,0,1,1,0,0,0,0,4,1,1,0,0,1,1,MFFW,83fe71b8
343,Danel Sinani,4,1263,2024-2025,27,lu LUX,St. Pauli,de Bundesliga,26,1263,14.0,14,12,7,2,2,4,2,0,0,0,4,3,0,0,1,0,0,FWMF,96ddfa79
344,Julio Enciso,4,1174,2024-2025,20,py PAR,2 Teams,eng Premier League,25,1174,13.0,14,11,7,2,3,5,2,0,0,0,4,2,1,1,0,0,0,MFFW,9cfbad36
345,Emanuel Emegha,4,2307,2024-2025,21,nl NED,Strasbourg,fr Ligue 1,27,2307,25.6,27,0,0,14,3,17,14,0,0,0,4,3,0,1,0,0,0,FW,a0c590b9
346,Marcus Rashford,4,1434,2024-2025,26,eng ENG,2 Teams,eng Premier League,25,1434,15.9,16,9,1,6,3,9,5,1,1,0,4,3,0,0,1,0,0,FWMF,a1d5bd30
347,Mika Biereth,4,1239,2024-2025,21,dk DEN,Monaco,fr Ligue 1,16,1239,13.8,16,0,1,13,2,15,12,1,2,1,4,3,0,0,0,1,0,FW,a1d95db3
348,Joe Willock,4,1094,2024-2025,24,eng ENG,Newcastle Utd,eng Premier League,32,1094,12.2,11,21,1,0,2,2,0,0,0,0,4,4,0,0,0,0,0,MFFW,a3b03921
349,Aitor Ruibal,4,1320,2024-2025,28,es ESP,Betis,es La Liga,29,1320,14.7,13,16,2,1,3,4,1,0,0,0,4,4,0,0,0,0,0,DFFW,a55d8df5
350,Mitchel Bakker,4,1147,2024-2025,24,nl NED,Lille,fr Ligue 1,24,1147,12.7,14,10,3,3,2,5,3,0,0,0,4,2,1,0,0,1,0,FWDF,a8567629
351,Jack Harrison,4,2091,2024-2025,27,eng ENG,Everton,eng Premier League,34,2091,23.2,24,10,4,1,0,1,1,0,0,0,4,1,0,0,1,2,0,FW,aa849a12
352,Yassine Kechta,4,2117,2024-2025,22,ma MAR,Le Havre,fr Ligue 1,31,2117,23.5,25,6,2,2,0,2,2,0,0,0,4,1,0,1,0,2,0,MFFW,abefc3af
353,Gabriel Strefezza,4,2640,2024-2025,27,br BRA,Como,it Serie A,37,2640,29.3,32,5,0,6,4,10,6,0,0,0,4,4,0,0,0,0,0,FWMF,ac4a4508
354,Zito Luvumbo,4,1619,2024-2025,22,ao ANG,Cagliari,it Serie A,26,1619,18.0,19,7,2,2,2,4,2,0,0,0,4,4,0,0,0,0,0,FWMF,b09e0873
355,Yunus Musah,4,1582,2024-2025,21,us USA,Milan,it Serie A,29,1582,17.6,19,10,5,0,2,2,0,0,0,0,4,4,0,0,0,0,0,MFFW,b51b1b9c
356,Derrick Köhn,4,1356,2024-2025,25,de GER,Werder Bremen,de Bundesliga,27,1356,15.1,14,13,4,2,2,4,2,0,0,0,4,4,0,0,0,0,0,DFFW,b735b590
357,Moritz Broschinski,4,1403,2024-2025,23,de GER,Bochum,de Bundesliga,33,1403,15.6,15,18,1,1,3,4,1,0,0,0,4,2,0,1,1,0,0,FWMF,bbd79358
358,Tyler Dibling,4,1884,2024-2025,18,eng ENG,Southampton,eng Premier League,33,1884,20.9,20,13,1,2,0,2,2,0,0,0,4,2,0,1,1,0,0,FWMF,bdcc89ae
359,Loïc Nego,4,2466,2024-2025,33,hu HUN,Le Havre,fr Ligue 1,31,2466,27.4,28,3,3,0,0,0,0,0,0,0,4,3,0,0,0,0,1,DFFW,c3b6fa1e
360,Anuar,4,1732,2024-2025,29,ma MAR,Valladolid,es La Liga,26,1732,19.2,21,5,2,2,0,2,2,0,0,0,4,1,0,2,0,1,0,MFFW,c93231dc
361,Vitor Roque,4,1245,2024-2025,19,br BRA,Betis,es La Liga,22,1245,13.8,14,8,0,4,0,4,4,0,0,0,4,0,0,0,1,3,0,FW,cb00f1e6
362,Mikel Merino,4,1591,2024-2025,28,es ESP,Arsenal,eng Premier League,28,1591,17.7,17,11,0,7,2,9,7,0,0,0,4,3,0,0,1,0,0,MFFW,d080ed5e
363,Amin Sarr,4,1927,2024-2025,23,se SWE,Hellas Verona,it Serie A,32,1927,21.4,25,7,4,4,1,5,4,0,0,0,4,2,0,0,2,0,0,FW,d5326924
364,Johannes Eggestein,4,1872,2024-2025,26,de GER,St. Pauli,de Bundesliga,27,1872,20.8,22,5,5,3,4,7,2,1,2,1,4,4,0,0,0,0,0,FW,d571df78
365,Kiké,4,2559,2024-2025,34,es ESP,Alavés,es La Liga,35,2559,28.4,29,6,2,13,0,13,10,3,3,0,4,3,0,0,0,1,0,FW,e897d8ba
366,Alejandro Jiménez,4,1274,2024-2025,19,es ESP,Milan,it Serie A,22,1274,14.2,14,8,6,0,1,1,0,0,0,0,4,3,0,0,1,0,0,DFFW,faa13947
367,Joshua Zirkzee,3,1411,2024-2025,23,nl NED,Manchester Utd,eng Premier League,32,1411,15.7,14,18,0,3,1,4,3,0,0,0,3,1,0,0,1,1,0,FWMF,028e70b9
368,Lorenzo Colombo,3,2248,2024-2025,22,it ITA,Empoli,it Serie A,37,2248,25.0,26,11,0,6,2,8,5,1,1,0,3,1,0,1,1,0,0,FWMF,04df29a5
369,Tanguy Coulibaly,3,1494,2024-2025,23,fr FRA,Montpellier,fr Ligue 1,25,1494,16.6,17,8,2,3,0,3,3,0,0,0,3,1,0,1,1,0,0,FWMF,05ba9d7c
370,Daniel Mosquera,3,1385,2024-2025,24,co COL,Hellas Verona,it Serie A,35,1385,15.4,12,23,2,5,1,6,5,0,0,0,3,2,0,0,1,0,0,FW,091b9eb8
371,Antonio Sanabria,3,1327,2024-2025,28,py PAR,Torino,it Serie A,26,1327,14.7,16,10,10,2,1,3,2,0,1,1,3,1,1,0,0,1,0,FW,0a447501
372,Álvaro Morata,3,1106,2024-2025,31,es ESP,Milan,it Serie A,16,1106,12.3,13,3,0,5,0,5,5,0,0,0,3,2,0,0,1,0,0,FWMF,129af0db
373,Cristhian Stuani,3,1084,2024-2025,37,uy URU,Girona,es La Liga,32,1084,12.0,6,26,6,11,2,13,8,3,3,0,3,2,0,0,1,0,0,FW,220c11f1
374,Gerrit Holtmann,3,1146,2024-2025,29,ph PHI,Bochum,de Bundesliga,23,1146,12.7,12,11,2,2,1,3,2,0,0,0,3,1,1,0,0,0,1,DFFW,2979c05a
375,Leonardo Spinazzola,3,1527,2024-2025,31,it ITA,Napoli,it Serie A,27,1527,17.0,17,10,6,1,1,2,1,0,0,0,3,3,0,0,0,0,0,DFFW,3626daea
376,Unai Gómez,3,1296,2024-2025,21,es ESP,Athletic Club,es La Liga,32,1296,14.4,14,18,4,1,3,4,1,0,0,0,3,2,0,0,1,0,0,MFFW,37db6cae
377,Pedro,3,1108,2024-2025,37,es ESP,Lazio,it Serie A,30,1108,12.3,6,24,6,10,1,11,8,2,2,0,3,3,0,0,0,0,0,FWMF,3ca7254a
378,Frank Magri,3,1526,2024-2025,24,cm CMR,Toulouse,fr Ligue 1,31,1526,17.0,17,14,0,5,1,6,5,0,0,0,3,1,0,1,0,1,0,FWMF,42fdb11d
379,Myron Boadu,3,1050,2024-2025,23,nl NED,Bochum,de Bundesliga,19,1050,11.7,11,8,3,9,1,10,8,1,1,0,3,1,0,2,0,0,0,FW,5b479568
380,Patrik Schick,3,1695,2024-2025,28,cz CZE,Leverkusen,de Bundesliga,31,1695,18.8,19,12,2,21,0,21,20,1,1,0,3,1,0,0,1,1,0,FW,5d4f7d61
381,Carlos Martín,3,1346,2024-2025,22,es ESP,Alavés,es La Liga,26,1346,15.0,16,10,10,2,2,4,2,0,0,0,3,1,0,0,2,0,0,FWMF,64035864
382,Umar Sadiq,3,1061,2024-2025,27,ng NGA,2 Teams,es La Liga,23,1061,11.8,11,12,13,5,0,5,5,0,0,0,3,0,0,1,1,0,1,FW,686cbe7d
383,Vitinha,3,1341,2024-2025,24,pt POR,Genoa,it Serie A,25,1341,14.9,16,9,1,2,3,5,2,0,0,0,3,3,0,0,0,0,0,FWMF,74d4cec6
384,Florian Sotoca,3,1807,2024-2025,33,fr FRA,Lens,fr Ligue 1,31,1807,20.1,22,9,0,1,1,2,1,0,0,0,3,3,0,0,0,0,0,FWMF,7a42d0df
385,Arnaud Nordin,3,1172,2024-2025,26,fr FRA,Montpellier,fr Ligue 1,16,1172,13.0,14,2,0,4,1,5,3,1,2,1,3,3,0,0,0,0,0,FW,7b9a9e25
386,Samuel Essende,3,1652,2024-2025,26,cd COD,Augsburg,de Bundesliga,30,1652,18.4,21,9,1,7,2,9,7,0,0,0,3,2,0,1,0,0,0,FW,821550ce
387,Junior Adamu,3,1558,2024-2025,23,at AUT,Freiburg,de Bundesliga,25,1558,17.3,19,6,5,2,2,4,2,0,0,0,3,2,0,0,1,0,0,FW,82e12fe7
388,Philipp Hofmann,3,2291,2024-2025,31,de GER,Bochum,de Bundesliga,32,2291,25.5,27,5,0,3,3,6,3,0,0,0,3,2,0,0,1,0,0,FW,877bc844
389,Robert Lewandowski,3,2684,2024-2025,35,pl POL,Barcelona,es La Liga,34,2684,29.8,32,2,2,27,2,29,24,3,4,1,3,2,0,0,1,0,0,FW,8d78e732
390,John Yeboah,3,1233,2024-2025,24,ec ECU,Venezia,it Serie A,33,1233,13.7,11,22,0,1,1,2,1,0,0,0,3,2,0,0,0,1,0,FWMF,8dfdc6c3
391,Timothy Weah,3,1648,2024-2025,24,us USA,Juventus,it Serie A,30,1648,18.3,18,12,2,5,2,7,5,0,0,0,3,2,0,0,1,0,0,DFFW,8eec784d
392,Christopher Operi,3,1169,2024-2025,27,ci CIV,Le Havre,fr Ligue 1,13,1169,13.0,13,0,0,0,2,2,0,0,0,0,3,1,1,0,1,0,0,DFFW,914bb955
393,Mario Götze,3,1555,2024-2025,32,de GER,Eint Frankfurt,de Bundesliga,24,1555,17.3,18,6,4,3,2,5,3,0,0,0,3,3,0,0,0,0,0,MFFW,9efa1d25
394,Teun Koopmeiners,3,2000,2024-2025,26,nl NED,Juventus,it Serie A,28,2000,22.2,23,5,1,3,3,6,3,0,0,0,3,2,1,0,0,0,0,MFFW,a26fb8aa
395,Eddie Nketiah,3,1041,2024-2025,25,eng ENG,2 Teams,eng Premier League,29,1041,11.6,9,20,4,3,1,4,3,0,0,0,3,2,0,0,0,1,0,FW,a53649b7
396,Kamaldeen Sulemana,3,1414,2024-2025,22,gh GHA,Southampton,eng Premier League,26,1414,15.7,17,9,2,1,1,2,1,0,0,0,3,1,0,1,1,0,0,FWMF,a62f8bf1
397,Victor Boniface,3,1019,2024-2025,23,ng NGA,Leverkusen,de Bundesliga,19,1019,11.3,12,7,5,8,1,9,8,0,1,1,3,1,0,2,0,0,0,FW,b146275b
398,Matteo Cancellieri,3,1437,2024-2025,22,it ITA,Parma,it Serie A,27,1437,16.0,19,8,2,3,0,3,3,0,0,0,3,1,0,2,0,0,0,FWMF,b6a1cdf9
399,Harry Wilson,3,1173,2024-2025,27,wls WAL,Fulham,eng Premier League,25,1173,13.0,12,13,3,6,1,7,6,0,0,0,3,2,0,0,0,1,0,FWMF,c6dc9ecd
400,Roberto Férnandez,3,1510,2024-2025,22,es ESP,Espanyol,es La Liga,19,1510,16.8,18,1,0,6,0,6,6,0,0,0,3,0,0,0,0,2,1,FW,c981fc98
401,Peque,3,1146,2024-2025,21,es ESP,Sevilla,es La Liga,26,1146,12.7,14,12,11,1,1,2,1,0,0,0,3,3,0,0,0,0,0,MFFW,cb971b4f
402,Elif Elmas,3,1027,2024-2025,24,mk MKD,Torino,it Serie A,13,1027,11.4,12,1,1,4,0,4,4,0,0,0,3,1,0,1,1,0,0,FWMF,cf007308
403,Cyle Larin,3,1783,2024-2025,29,ca CAN,Mallorca,es La Liga,32,1783,19.8,21,11,4,7,2,9,6,1,1,0,3,1,0,0,1,1,0,FW,e7af9060
404,Joel Pohjanpalo,3,1616,2024-2025,29,fi FIN,Venezia,it Serie A,20,1616,18.0,19,1,0,6,0,6,3,3,4,1,3,1,0,0,1,1,0,FW,ea003d07
405,Dany Mota,3,2118,2024-2025,26,pt POR,Monza,it Serie A,31,2118,23.5,24,7,0,5,2,7,5,0,0,0,3,3,0,0,0,0,0,FWMF,efc9e31f
406,Abdallah Sima,3,1250,2024-2025,23,sn SEN,Brest,fr Ligue 1,27,1250,13.9,14,13,1,7,2,9,7,0,0,0,3,2,0,0,0,1,0,FWMF,fdbde523
407,Jeremie Boga,3,1063,2024-2025,27,ci CIV,Nice,fr Ligue 1,21,1063,11.8,12,9,3,1,2,3,1,0,0,0,3,2,0,0,1,0,0,MFFW,fe012aca
408,Kai Havertz,3,1878,2024-2025,25,de GER,Arsenal,eng Premier League,23,1878,20.9,21,2,1,9,3,12,9,0,0,0,3,2,0,0,1,0,0,FWMF,fed7cb61
409,Casper Tengstedt,3,1535,2024-2025,24,dk DEN,Hellas Verona,it Serie A,25,1535,17.1,20,5,4,6,1,7,5,1,1,0,3,2,0,0,1,0,0,FW,ff2fb007
410,Pontus Almqvist,2,1120,2024-2025,25,se SWE,Parma,it Serie A,29,1120,12.4,10,19,7,1,1,2,1,0,0,0,2,2,0,0,0,0,0,FWMF,0917188a
411,Takuma Asano,2,1067,2024-2025,29,jp JPN,Mallorca,es La Liga,21,1067,11.9,13,8,2,2,1,3,2,0,0,0,2,2,0,0,0,0,0,FWMF,13ddc856
412,Ernest Nuamah,2,1062,2024-2025,20,gh GHA,Lyon,fr Ligue 1,23,1062,11.8,13,10,1,3,1,4,3,0,0,0,2,2,0,0,0,0,0,FWMF,234a703c
413,Wahbi Khazri,2,1127,2024-2025,33,tn TUN,Montpellier,fr Ligue 1,30,1127,12.5,10,20,2,1,1,2,1,0,0,0,2,1,0,1,0,0,0,FWMF,2677a1de
414,Milan Đurić,2,1545,2024-2025,34,ba BIH,2 Teams,it Serie A,27,1545,17.2,16,11,3,5,1,6,5,0,0,0,2,1,0,0,1,0,0,FW,405f6586
415,Dani de Wit,2,1158,2024-2025,26,nl NED,Bochum,de Bundesliga,28,1158,12.9,11,17,5,2,1,3,2,0,0,0,2,0,0,0,1,1,0,MFFW,48a2b92a
416,Angelo Fulgini,2,1055,2024-2025,27,fr FRA,Lens,fr Ligue 1,23,1055,11.7,11,12,6,1,1,2,1,0,0,0,2,2,0,0,0,0,0,MFFW,4b96c347
417,Mostafa Mohamed,2,1261,2024-2025,26,eg EGY,Nantes,fr Ligue 1,30,1261,14.0,11,19,0,5,0,5,5,0,0,0,2,0,0,1,0,1,0,FW,595e6f3e
418,Alex Sola,2,1041,2024-2025,25,es ESP,Getafe,es La Liga,19,1041,11.6,13,6,16,0,1,1,0,0,0,0,2,2,0,0,0,0,0,MFFW,5fa714d5
419,Pep Chavarría,2,2589,2024-2025,26,es ESP,Rayo Vallecano,es La Liga,34,2589,28.8,28,6,2,0,1,1,0,0,0,0,2,2,0,0,0,0,0,DFFW,63c5e56b
420,Borja Mayoral,2,1117,2024-2025,27,es ESP,Getafe,es La Liga,24,1117,12.4,7,17,1,5,1,6,4,1,1,0,2,1,0,0,1,0,0,FW,64e8ed6d
421,Antoine Hainaut,2,1211,2024-2025,22,fr FRA,Parma,it Serie A,25,1211,13.5,10,15,12,2,0,2,2,0,0,0,2,2,0,0,0,0,0,DFFW,6503f220
422,Anastasios Douvikas,2,1289,2024-2025,24,gr GRE,2 Teams,2 Comps,33,1289,14.3,12,21,3,5,3,8,5,0,0,0,2,2,0,0,0,0,0,FW,853ca71c
423,Yann Karamoh,2,1056,2024-2025,26,fr FRA,Torino,it Serie A,29,1056,11.7,10,19,7,0,1,1,0,0,0,0,2,1,0,0,1,0,0,MFFW,8b66d9cc
424,Keinan Davis,2,1072,2024-2025,26,eng ENG,Udinese,it Serie A,23,1072,11.9,10,13,2,2,1,3,2,0,0,0,2,0,0,1,1,0,0,FW,9deaf2c8
