,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Won%,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Won,Lost,Won%,Pos,-9999
110,Michael Olise,47.8,2334,2024-2025,22,fr FRA,Bayern Munich,de Bundesliga,34,2334,25.9,28,6,0,12,15,27,12,0,0,0,11,12,47.8,FWMF,c4486bac
111,Antoine Griezmann,47.7,2469,2024-2025,33,fr FRA,Atlético Madrid,es La Liga,38,2469,27.4,29,9,0,8,7,15,7,1,2,1,21,23,47.7,FWMF,df69b544
112,Jamie Vardy,47.6,2823,2024-2025,37,eng ENG,Leicester City,eng Premier League,35,2823,31.4,35,0,0,9,4,13,8,1,2,1,50,55,47.6,FW,45963054
113,Mattia Zaccagni,47.5,2686,2024-2025,29,it ITA,Lazio,it Serie A,34,2686,29.8,33,1,0,8,6,14,6,2,2,0,19,21,47.5,FW,d85c238b
114,Nicolas Pépé,47.1,1500,2024-2025,29,ci CIV,Villarreal,es La Liga,28,1500,16.7,15,13,0,3,6,9,3,0,0,0,16,18,47.1,FWMF,57e3f0c7
115,Daniel Mosquera,47.0,1375,2024-2025,24,co COL,Hellas Verona,it Serie A,35,1375,15.3,12,23,2,5,1,6,5,0,0,0,79,89,47.0,FW,091b9eb8
116,Alejo Véliz,46.8,1127,2024-2025,20,ar ARG,Espanyol,es La Liga,27,1127,12.5,10,17,11,1,0,1,1,0,0,0,51,58,46.8,FW,3f7bafbe
117,Hugo Ekitike,46.8,2563,2024-2025,22,fr FRA,Eint Frankfurt,de Bundesliga,33,2563,28.5,31,2,0,15,8,23,14,1,3,2,52,59,46.8,FW,5b92d896
118,Morgan Guilavogui,46.8,1807,2024-2025,26,gn GUI,St. Pauli,de Bundesliga,25,1807,20.1,21,4,0,6,2,8,6,0,0,0,66,75,46.8,FWMF,79b51257
119,Nicolas Viola,46.7,1267,2024-2025,34,it ITA,Cagliari,it Serie A,27,1267,14.1,18,9,10,3,1,4,3,0,0,0,21,24,46.7,FWMF,45392b06
120,Iago Aspas,46.7,1745,2024-2025,36,es ESP,Celta Vigo,es La Liga,30,1745,19.4,19,11,3,10,5,15,5,5,6,1,7,8,46.7,FWMF,7dcf86f6
121,Lorenzo Lucca,46.5,2353,2024-2025,23,it ITA,Udinese,it Serie A,33,2353,26.1,27,6,0,12,1,13,11,1,1,0,59,68,46.5,FW,83c06f3a
122,Antoine Semenyo,46.5,3203,2024-2025,24,gh GHA,Bournemouth,eng Premier League,37,3203,35.6,36,1,0,11,5,16,11,0,0,0,66,76,46.5,FW,efd2ec23
123,Dodi Lukebakio,46.2,3092,2024-2025,26,be BEL,Sevilla,es La Liga,38,3092,34.4,36,2,0,11,2,13,10,1,1,0,18,21,46.2,FW,0c61c77c
124,Pablo Fornals,46.2,1827,2024-2025,28,es ESP,Betis,es La Liga,26,1827,20.3,22,4,2,2,0,2,2,0,0,0,18,21,46.2,MFFW,82927de4
125,Dani de Wit,46.1,1153,2024-2025,26,nl NED,Bochum,de Bundesliga,28,1153,12.8,11,17,5,2,1,3,2,0,0,0,41,48,46.1,MFFW,48a2b92a
126,Mathias Pereira Lage,46.1,1571,2024-2025,27,pt POR,Brest,fr Ligue 1,29,1571,17.5,18,11,5,2,7,9,2,0,0,0,35,41,46.1,FWMF,8846a40f
127,Dany Mota,45.8,2104,2024-2025,26,pt POR,Monza,it Serie A,31,2104,23.4,24,7,0,5,2,7,5,0,0,0,60,71,45.8,FWMF,efc9e31f
128,Matthis Abline,45.7,2768,2024-2025,21,fr FRA,Nantes,fr Ligue 1,34,2768,30.8,33,1,0,9,2,11,8,1,1,0,64,76,45.7,FW,0e46fa2f
129,Alex Baena,45.7,2595,2024-2025,23,es ESP,Villarreal,es La Liga,32,2595,28.8,30,2,0,7,9,16,7,0,1,1,16,19,45.7,MFFW,518f2234
130,Lucas Paquetá,45.7,2380,2024-2025,26,br BRA,West Ham,eng Premier League,33,2380,26.4,27,6,1,4,0,4,2,2,2,0,48,57,45.7,MFFW,9b6f7fd5
131,Yoane Wissa,45.5,2919,2024-2025,27,cd COD,Brentford,eng Premier League,35,2919,32.4,34,1,0,19,4,23,19,0,0,0,30,36,45.5,FW,2500cef9
132,Carlos Soler,45.5,1409,2024-2025,27,es ESP,West Ham,eng Premier League,31,1409,15.7,14,17,2,1,1,2,1,0,0,0,10,12,45.5,MFFW,fed17f5a
133,Phil Harres,45.4,1544,2024-2025,22,de GER,Holstein Kiel,de Bundesliga,26,1544,17.2,17,9,1,8,1,9,8,0,0,0,54,65,45.4,FW,07db670d
134,Cucho,45.3,1139,2024-2025,25,co COL,Betis,es La Liga,15,1139,12.7,14,1,1,5,1,6,5,0,0,0,29,35,45.3,FW,71b47ab9
135,Tanguy Coulibaly,45.2,1485,2024-2025,23,fr FRA,Montpellier,fr Ligue 1,25,1485,16.5,17,8,2,3,0,3,3,0,0,0,19,23,45.2,FWMF,05ba9d7c
136,Patrik Schick,45.0,1684,2024-2025,28,cz CZE,Leverkusen,de Bundesliga,31,1684,18.7,19,12,2,21,0,21,20,1,1,0,45,55,45.0,FW,5d4f7d61
