,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Won%,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Won,Lost,Won%,Pos,-9999
445,Eberechi Eze,15.9,2588,2024-2025,26,eng ENG,Crystal Palace,eng Premier League,34,2588,28.8,31,3,0,8,8,16,7,1,2,1,7,37,15.9,MFFW,ae4fc6a4
446,Yann Gboho,15.6,2333,2024-2025,23,fr FRA,Toulouse,fr Ligue 1,31,2333,25.9,27,4,0,5,4,9,5,0,0,0,5,27,15.6,MFFW,6be41a31
447,Dwight McNeil,15.0,1371,2024-2025,24,eng ENG,Everton,eng Premier League,21,1371,15.2,15,6,0,4,6,10,4,0,0,0,3,17,15.0,MFFW,fc15fb84
448,Pedro,14.3,1102,2024-2025,37,es ESP,Lazio,it Serie A,30,1102,12.2,6,24,6,10,1,11,8,2,2,0,1,6,14.3,FWMF,3ca7254a
449,Malick Fofana,14.3,1589,2024-2025,19,be BEL,Lyon,fr Ligue 1,29,1589,17.7,16,13,0,5,4,9,5,0,0,0,2,12,14.3,FW,8236f673
450,Vinicius Júnior,12.5,2253,2024-2025,24,br BRA,Real Madrid,es La Liga,30,2253,25.0,24,6,0,11,8,19,9,2,3,1,1,7,12.5,FW,7111d552
451,Jack Harrison,12.5,2076,2024-2025,27,eng ENG,Everton,eng Premier League,34,2076,23.1,24,10,4,1,0,1,1,0,0,0,4,28,12.5,FW,aa849a12
452,Hákon Arnar Haraldsson,12.5,1755,2024-2025,21,is ISL,Lille,fr Ligue 1,25,1755,19.5,21,4,1,5,3,8,5,0,0,0,2,14,12.5,MFFW,e2ae54db
453,Badredine Bouanani,11.1,1099,2024-2025,19,dz ALG,Nice,fr Ligue 1,26,1099,12.2,11,15,5,3,3,6,2,1,1,0,2,16,11.1,MFFW,0400dd2f
454,Alejandro Garnacho,11.1,2199,2024-2025,20,ar ARG,Manchester Utd,eng Premier League,36,2199,24.4,23,13,0,6,2,8,6,0,0,0,3,24,11.1,MFFW,7aa8adfe
455,Benjamín Domínguez,8.7,1281,2024-2025,20,ar ARG,Bologna,it Serie A,24,1281,14.2,16,8,11,3,2,5,3,0,0,0,2,21,8.7,FW,a83b47fa
456,Matias Fernandez-Pardo,0.0,1065,2024-2025,19,be BEL,Lille,fr Ligue 1,22,1065,11.8,12,10,3,4,2,6,4,0,0,0,0,11,0.0,FWMF,0cdb6a2a
457,Osame Sahraoui,0.0,1293,2024-2025,23,ma MAR,Lille,fr Ligue 1,30,1293,14.4,10,20,1,3,3,6,3,0,0,0,0,8,0.0,FWMF,6f9fa232
458,Bryan Gil,0.0,1721,2024-2025,23,es ESP,Girona,es La Liga,25,1721,19.1,21,4,0,3,3,6,3,0,0,0,0,5,0.0,FWMF,7b5ab7f2
459,Luis Henrique,0.0,2613,2024-2025,22,br BRA,Marseille,fr Ligue 1,33,2613,29.0,29,4,1,7,7,14,7,0,0,0,0,5,0.0,DFFW,f36d5624
460,Jeremy Doku,0.0,1516,2024-2025,22,be BEL,Manchester City,eng Premier League,29,1516,16.8,16,13,4,3,6,9,3,0,0,0,0,12,0.0,FWMF,fffea3e5
