,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Total,Total,Total,,,,,,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,-additional
Rk,Player,Cmp,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos,-9999
78,Son Heung-min,730,2122,2024-2025,32,kr KOR,Tottenham,eng Premier League,30,2122,23.6,24,6,0,7,9,16,6,1,2,1,730,925,78.9,50,41,51,6,111,10333,2866,447,498,89.8,206,255,80.8,39,82,47.6,FW,92e7e919
79,Gaëtan Perrin,728,2710,2024-2025,28,fr FRA,Auxerre,fr Ligue 1,34,2710,30.1,31,3,0,10,11,21,10,0,0,0,728,1031,70.6,73,87,34,7,142,13238,4768,348,418,83.3,233,306,76.1,113,216,52.3,MFFW,10dd88f9
80,Anthony Gordon,720,2452,2024-2025,23,eng ENG,Newcastle Utd,eng Premier League,34,2452,27.2,28,6,0,6,5,11,5,1,2,1,720,982,73.3,51,65,55,17,98,11128,3642,397,464,85.6,244,312,78.2,56,125,44.8,FWMF,2bd83368
81,Carlos Vicente,720,3099,2024-2025,25,es ESP,Alavés,es La Liga,37,3099,34.4,35,2,1,5,5,10,4,1,1,0,720,1140,63.2,63,36,38,29,68,12031,4061,388,496,78.2,240,354,67.8,77,185,41.6,FWMF,90df343e
82,Julián Álvarez,717,2526,2024-2025,24,ar ARG,Atlético Madrid,es La Liga,37,2526,28.1,30,7,0,17,4,21,13,4,4,0,717,966,74.2,41,45,38,5,92,10651,2652,404,486,83.1,214,267,80.1,53,114,46.5,FW,15ab5a2b
83,Mohammed Kudus,715,2605,2024-2025,23,gh GHA,West Ham,eng Premier League,32,2605,28.9,31,1,0,5,3,8,5,0,0,0,715,855,83.6,31,46,29,15,79,11695,1800,381,421,90.5,256,288,88.9,58,85,68.2,FWMF,b62878a5
84,Leandro Trossard,711,2559,2024-2025,29,be BEL,Arsenal,eng Premier League,38,2559,28.4,28,10,0,8,7,15,8,0,0,0,711,954,74.5,41,45,48,10,101,11435,2972,377,439,85.9,275,357,77.0,43,87,49.4,FW,38ceb24a
85,Leonardo Spinazzola,710,1527,2024-2025,31,it ITA,Napoli,it Serie A,27,1527,17.0,17,10,6,1,1,2,1,0,0,0,710,895,79.3,26,62,34,8,88,12378,3751,315,346,91.0,311,376,82.7,69,121,57.0,DFFW,3626daea
86,Pedro Neto,702,2277,2024-2025,24,pt POR,Chelsea,eng Premier League,35,2277,25.3,24,11,1,4,6,10,4,0,0,0,702,895,78.4,46,30,37,23,60,11347,2418,347,373,93.0,267,326,81.9,60,127,47.2,FW,7ba2eaa9
87,John McGinn,699,2238,2024-2025,29,sct SCO,Aston Villa,eng Premier League,34,2238,24.9,27,7,0,1,4,5,1,0,0,0,699,854,81.9,31,70,29,8,103,11807,3243,336,367,91.6,285,332,85.8,64,111,57.7,MFFW,90f91999
88,Alexis Saelemaekers,696,1494,2024-2025,25,be BEL,2 Teams,it Serie A,23,1494,16.6,18,5,5,7,3,10,7,0,0,0,696,851,81.8,26,40,23,7,57,10225,2732,425,468,90.8,202,242,83.5,46,84,54.8,DFFW,ee251371
89,Takefusa Kubo,694,2388,2024-2025,23,jp JPN,Real Sociedad,es La Liga,36,2388,26.5,27,9,1,5,0,5,5,0,0,0,694,962,72.1,45,59,45,11,110,9938,2961,425,500,85.0,185,259,71.4,47,97,48.5,MFFW,16aa3654
90,Ludovic Blas,693,2304,2024-2025,26,fr FRA,Rennes,fr Ligue 1,29,2304,25.6,26,3,0,6,8,14,6,0,0,0,693,938,73.9,47,76,33,9,116,12028,3413,349,399,87.5,242,322,75.2,81,161,50.3,MFFW,6191093d
91,Sávio,692,1779,2024-2025,20,br BRA,Manchester City,eng Premier League,29,1779,19.8,21,8,7,1,8,9,1,0,0,0,692,856,80.8,46,19,47,8,67,10296,1727,423,470,90.0,227,283,80.2,31,56,55.4,FWMF,fe6e7156
92,Callum Hudson-Odoi,691,2210,2024-2025,23,eng ENG,Nott'ham Forest,eng Premier League,31,2210,24.6,25,6,1,5,2,7,5,0,0,0,691,843,82.0,44,38,33,11,71,10242,2075,401,437,91.8,218,266,82.0,44,87,50.6,FWMF,15f3ec41
93,Omari Hutchinson,690,2594,2024-2025,20,eng ENG,Ipswich Town,eng Premier League,31,2594,28.8,30,1,1,3,2,5,3,0,0,0,690,885,78.0,31,45,27,15,75,10875,2022,353,399,88.5,283,339,83.5,38,73,52.1,MFFW,bd9553e6
94,Marcus Tavernier,689,1948,2024-2025,25,eng ENG,Bournemouth,eng Premier League,29,1948,21.6,20,9,0,3,5,8,3,0,0,0,689,934,73.8,43,80,40,14,128,11654,3481,334,387,86.3,280,352,79.5,60,127,47.2,FWMF,5c0da4a4
