,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Total,Total,Total,,,,,,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,-additional
Rk,Player,Cmp,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos,-9999
410,Randal Kolo Muani,208,1525,2024-2025,25,fr FRA,2 Teams,2 Comps,26,1525,16.9,15,11,4,10,2,12,8,2,2,0,208,294,70.7,22,8,12,0,25,2665,470,123,161,76.4,59,80,73.8,4,8,50.0,FW,c0b3669f
411,Sergio Camello,207,1148,2024-2025,23,es ESP,Rayo Vallecano,es La Liga,23,1148,12.8,14,9,2,3,2,5,3,0,0,0,207,263,78.7,19,12,7,0,27,2869,452,127,151,84.1,61,73,83.6,7,9,77.8,FW,873619c6
412,Cameron Archer,205,1454,2024-2025,23,eng ENG,Southampton,eng Premier League,35,1454,16.2,13,22,2,2,0,2,2,0,1,1,205,251,81.7,5,7,7,0,14,2612,367,131,151,86.8,54,59,91.5,5,9,55.6,FW,05e8ca6d
413,Álvaro Morata,202,1106,2024-2025,31,es ESP,Milan,it Serie A,16,1106,12.3,13,3,0,5,0,5,5,0,0,0,202,268,75.4,7,15,3,0,26,3147,538,118,149,79.2,55,74,74.3,19,28,67.9,FWMF,129af0db
414,Casper Tengstedt,201,1535,2024-2025,24,dk DEN,Hellas Verona,it Serie A,25,1535,17.1,20,5,4,6,1,7,5,1,1,0,201,298,67.4,12,11,8,1,29,2875,528,109,139,78.4,63,92,68.5,14,30,46.7,FW,ff2fb007
415,Sheraldo Becker,200,1003,2024-2025,29,sr SUR,Real Sociedad,es La Liga,22,1003,11.1,11,11,4,2,1,3,2,0,0,0,200,313,63.9,8,6,17,5,23,3391,742,105,132,79.5,77,121,63.6,15,33,45.5,FWMF,8eb55dbb
416,Giorgos Masouras,200,1065,2024-2025,30,gr GRE,Bochum,de Bundesliga,14,1065,11.8,12,2,0,2,1,3,2,0,0,0,200,284,70.4,10,11,7,4,19,2740,688,135,167,80.8,51,70,72.9,10,20,50.0,FWMF,9d689a5b
417,Junior Adamu,198,1558,2024-2025,23,at AUT,Freiburg,de Bundesliga,25,1558,17.3,19,6,5,2,2,4,2,0,0,0,198,312,63.5,17,7,8,0,14,2376,316,124,180,68.9,48,70,68.6,2,6,33.3,FW,82e12fe7
418,Borja Mayoral,197,1117,2024-2025,27,es ESP,Getafe,es La Liga,24,1117,12.4,7,17,1,5,1,6,4,1,1,0,197,254,77.6,8,11,2,0,13,2876,459,113,133,85.0,57,70,81.4,13,17,76.5,FW,64e8ed6d
419,Shavy Babicka,196,1195,2024-2025,24,ga GAB,Toulouse,fr Ligue 1,30,1195,13.3,11,19,2,4,2,6,4,0,0,0,196,292,67.1,13,8,13,5,21,2616,643,118,155,76.1,60,85,70.6,5,15,33.3,MFFW,c6f0d5d4
420,Coba da Costa,195,1014,2024-2025,22,es ESP,Getafe,es La Liga,19,1014,11.3,12,7,11,1,1,2,1,0,0,0,195,303,64.4,9,14,10,7,16,2952,707,104,144,72.2,58,86,67.4,18,35,51.4,MFFW,0b3358f0
421,Samuel Essende,195,1652,2024-2025,26,cd COD,Augsburg,de Bundesliga,30,1652,18.4,21,9,1,7,2,9,7,0,0,0,195,301,64.8,11,11,6,2,21,2526,430,114,154,74.0,58,89,65.2,5,8,62.5,FW,821550ce
422,Alexander Bernhardsson,193,1274,2024-2025,25,se SWE,Holstein Kiel,de Bundesliga,19,1274,14.2,15,4,1,7,2,9,7,0,0,0,193,319,60.5,17,16,10,4,33,3164,1076,93,131,71.0,74,114,64.9,16,44,36.4,FWMF,dea1d183
423,Gonçalo Ramos,193,1073,2024-2025,23,pt POR,Paris S-G,fr Ligue 1,22,1073,11.9,12,10,0,10,3,13,8,2,3,1,193,241,80.1,15,9,9,0,24,2279,367,130,155,83.9,44,53,83.0,3,4,75.0,FW,f63cda26
424,Vitinha,191,1341,2024-2025,24,pt POR,Genoa,it Serie A,25,1341,14.9,16,9,1,2,3,5,2,0,0,0,191,322,59.3,16,12,10,7,19,2886,753,107,142,75.4,61,98,62.2,15,38,39.5,FWMF,74d4cec6
425,Yann Karamoh,189,1056,2024-2025,26,fr FRA,Torino,it Serie A,29,1056,11.7,10,19,7,0,1,1,0,0,0,0,189,282,67.0,9,8,9,1,28,2731,585,116,148,78.4,52,72,72.2,11,22,50.0,MFFW,8b66d9cc
426,Moritz Broschinski,187,1403,2024-2025,23,de GER,Bochum,de Bundesliga,33,1403,15.6,15,18,1,1,3,4,1,0,0,0,187,295,63.4,13,9,8,4,20,2807,554,102,136,75.0,64,90,71.1,10,20,50.0,FWMF,bbd79358
427,Roberto Férnandez,187,1510,2024-2025,22,es ESP,Espanyol,es La Liga,19,1510,16.8,18,1,0,6,0,6,6,0,0,0,187,259,72.2,8,9,7,0,17,2227,311,121,146,82.9,41,65,63.1,4,4,100.0,FW,c981fc98
428,Mama Samba Baldé,187,1193,2024-2025,28,gw GNB,2 Teams,fr Ligue 1,29,1193,13.3,12,17,0,2,3,5,2,0,0,0,187,259,72.2,16,14,5,2,23,2865,617,90,122,73.8,61,77,79.2,19,24,79.2,FW,fb14aa28
429,Dominic Calvert-Lewin,181,1620,2024-2025,27,eng ENG,Everton,eng Premier League,26,1620,18.0,19,7,0,3,1,4,3,0,0,0,181,289,62.6,7,20,5,1,20,2113,498,130,187,69.5,37,63,58.7,3,8,37.5,FW,59e6e5bf
430,André Ayew,181,1463,2024-2025,34,gh GHA,Le Havre,fr Ligue 1,27,1463,16.3,15,12,0,4,1,5,4,0,0,0,181,238,76.1,8,7,3,0,18,2231,272,113,134,84.3,54,68,79.4,0,4,0.0,FW,5dbefa9d
431,Zito Luvumbo,181,1619,2024-2025,22,ao ANG,Cagliari,it Serie A,26,1619,18.0,19,7,2,2,2,4,2,0,0,0,181,302,59.9,17,16,13,8,31,2768,863,104,138,75.4,59,104,56.7,12,28,42.9,FWMF,b09e0873
432,Eddie Nketiah,179,1041,2024-2025,25,eng ENG,2 Teams,eng Premier League,29,1041,11.6,9,20,4,3,1,4,3,0,0,0,179,240,74.6,13,11,5,0,19,2722,563,95,119,79.8,60,75,80.0,14,20,70.0,FW,a53649b7
433,Frank Magri,178,1526,2024-2025,24,cm CMR,Toulouse,fr Ligue 1,31,1526,17.0,17,14,0,5,1,6,5,0,0,0,178,251,70.9,9,15,7,1,25,2361,438,103,133,77.4,55,71,77.5,5,13,38.5,FWMF,42fdb11d
434,Mamadou Sylla,177,1594,2024-2025,30,sn SEN,Valladolid,es La Liga,29,1594,17.7,17,12,6,5,1,6,1,4,4,0,177,282,62.8,14,13,5,0,22,2675,420,103,140,73.6,59,93,63.4,9,14,64.3,FWMF,e5ec95f8
435,Victor Boniface,172,1019,2024-2025,23,ng NGA,Leverkusen,de Bundesliga,19,1019,11.3,12,7,5,8,1,9,8,0,1,1,172,245,70.2,10,10,8,2,23,2453,503,95,127,74.8,52,68,76.5,12,16,75.0,FW,b146275b
436,Jordan Pefok,171,1299,2024-2025,28,us USA,2 Teams,2 Comps,25,1299,14.4,16,9,2,1,1,2,1,0,0,0,171,241,71.0,17,11,3,0,16,2057,386,109,140,77.9,33,50,66.0,7,10,70.0,FW,b684a484
437,Milan Đurić,166,1545,2024-2025,34,ba BIH,2 Teams,it Serie A,27,1545,17.2,16,11,3,5,1,6,5,0,0,0,166,350,47.4,5,19,5,0,28,1954,596,102,202,50.5,38,91,41.8,4,6,66.7,FW,405f6586
438,Darwin Núñez,163,1139,2024-2025,25,uy URU,Liverpool,eng Premier League,30,1139,12.7,8,22,5,5,2,7,5,0,0,0,163,230,70.9,11,9,3,1,27,2390,587,89,111,80.2,48,65,73.8,13,20,65.0,FW,4d77b365
439,Mostafa Mohamed,160,1261,2024-2025,26,eg EGY,Nantes,fr Ligue 1,30,1261,14.0,11,19,0,5,0,5,5,0,0,0,160,247,64.8,6,16,6,0,20,2461,647,89,127,70.1,50,65,76.9,14,22,63.6,FW,595e6f3e
440,Paul Onuachu,160,1056,2024-2025,30,ng NGA,Southampton,eng Premier League,25,1056,11.7,11,14,3,4,1,5,4,0,0,0,160,263,60.8,8,13,2,0,13,2292,365,84,134,62.7,45,70,64.3,12,19,63.2,FW,c06d1086
441,Anastasios Douvikas,157,1289,2024-2025,24,gr GRE,2 Teams,2 Comps,33,1289,14.3,12,21,3,5,3,8,5,0,0,0,157,213,73.7,12,8,2,0,12,2078,297,95,116,81.9,45,57,78.9,7,9,77.8,FW,853ca71c
442,Beto,156,1543,2024-2025,26,gw GNB,Everton,eng Premier League,30,1543,17.1,15,15,8,8,0,8,8,0,0,0,156,268,58.2,12,7,8,1,16,2060,282,92,137,67.2,44,83,53.0,7,9,77.8,FW,ed5c0319
443,Alex Sola,155,1041,2024-2025,25,es ESP,Getafe,es La Liga,19,1041,11.6,13,6,16,0,1,1,0,0,0,0,155,242,64.0,9,12,2,1,23,2177,529,100,125,80.0,39,59,66.1,9,29,31.0,MFFW,5fa714d5
444,Juanmi Latasa,154,1404,2024-2025,23,es ESP,Valladolid,es La Liga,28,1404,15.6,14,14,3,3,0,3,3,0,0,0,154,260,59.2,13,11,5,1,17,2311,420,89,129,69.0,43,83,51.8,11,19,57.9,FW,2bea832e
445,Tammy Abraham,153,1192,2024-2025,26,eng ENG,2 Teams,it Serie A,29,1192,13.2,12,17,7,3,4,7,2,1,2,1,153,224,68.3,14,14,10,0,27,2000,566,94,125,75.2,46,75,61.3,4,7,57.1,FW,f586779e
446,Marshall Munetsi,152,1080,2024-2025,28,zw ZIM,Wolves,eng Premier League,14,1080,12.0,12,2,0,2,1,3,2,0,0,0,152,212,71.7,9,7,3,2,10,1898,390,95,122,77.9,43,57,75.4,3,6,50.0,MFFW,2acf0cd7
447,Phil Harres,150,1553,2024-2025,22,de GER,Holstein Kiel,de Bundesliga,26,1553,17.3,17,9,1,8,1,9,8,0,0,0,150,265,56.6,10,17,4,2,16,2460,482,79,126,62.7,48,86,55.8,16,23,69.6,FW,07db670d
448,Umar Sadiq,150,1061,2024-2025,27,ng NGA,2 Teams,es La Liga,23,1061,11.8,11,12,13,5,0,5,5,0,0,0,150,221,67.9,7,6,0,0,12,2070,305,96,131,73.3,44,58,75.9,4,7,57.1,FW,686cbe7d
449,Sammie Szmodics,149,1005,2024-2025,28,ie IRL,Ipswich Town,eng Premier League,20,1005,11.2,13,7,2,4,0,4,4,0,0,0,149,201,74.1,5,11,4,1,19,2458,724,72,82,87.8,54,65,83.1,15,29,51.7,FWMF,39944392
450,Mika Biereth,149,1239,2024-2025,21,dk DEN,Monaco,fr Ligue 1,16,1239,13.8,16,0,1,13,2,15,12,1,2,1,149,241,61.8,22,11,16,1,24,2062,532,85,131,64.9,48,68,70.6,7,8,87.5,FW,a1d95db3
451,Takuma Asano,148,1067,2024-2025,29,jp JPN,Mallorca,es La Liga,21,1067,11.9,13,8,2,2,1,3,2,0,0,0,148,219,67.6,6,8,3,2,20,2071,485,93,110,84.5,48,67,71.6,4,17,23.5,FWMF,13ddc856
452,Antoniu,148,1033,2024-2025,21,es ESP,Espanyol,es La Liga,26,1033,11.5,13,13,9,0,1,1,0,0,0,0,148,221,67.0,7,10,7,3,28,2071,636,89,109,81.7,47,67,70.1,4,14,28.6,FWMF,af784a9e
453,Randy Nteka,144,1144,2024-2025,26,ao ANG,Rayo Vallecano,es La Liga,24,1144,12.7,16,8,9,3,0,3,3,0,0,0,144,223,64.6,9,5,2,0,8,1834,230,94,123,76.4,39,65,60.0,3,6,50.0,FW,a6103274
454,Vitor Roque,142,1245,2024-2025,19,br BRA,Betis,es La Liga,22,1245,13.8,14,8,0,4,0,4,4,0,0,0,142,195,72.8,12,4,10,3,17,1986,451,73,96,76.0,49,61,80.3,6,8,75.0,FW,cb00f1e6
455,Toni Martínez,140,1019,2024-2025,27,es ESP,Alavés,es La Liga,28,1019,11.3,9,19,8,4,0,4,4,0,0,0,140,240,58.3,11,11,4,1,11,1676,280,96,132,72.7,32,67,47.8,3,10,30.0,FW,f3945e07
456,Myron Boadu,139,1050,2024-2025,23,nl NED,Bochum,de Bundesliga,19,1050,11.7,11,8,3,9,1,10,8,1,1,0,139,195,71.3,11,7,5,1,18,2358,375,55,81,67.9,72,88,81.8,8,9,88.9,FW,5b479568
457,Miguel,139,1736,2024-2025,24,es ESP,Leganés,es La Liga,34,1736,19.3,17,17,3,1,3,4,0,1,2,1,139,237,58.6,7,9,5,1,16,2021,381,77,114,67.5,46,72,63.9,6,15,40.0,FW,6763373d
458,Marcos André,138,1200,2024-2025,27,br BRA,Valladolid,es La Liga,22,1200,13.3,14,8,13,1,2,3,1,0,0,0,138,210,65.7,9,13,3,0,16,2358,395,79,103,76.7,42,65,64.6,14,18,77.8,FW,ae86d473
459,Akor Adams,132,1215,2024-2025,24,ng NGA,2 Teams,2 Comps,19,1215,13.5,14,5,1,3,1,4,3,0,0,0,132,206,64.1,12,11,1,0,11,1874,246,81,113,71.7,39,58,67.2,6,15,40.0,FW,2ccd39ed
460,Alejo Véliz,122,1134,2024-2025,20,ar ARG,Espanyol,es La Liga,27,1134,12.6,10,17,11,1,0,1,1,0,0,0,122,187,65.2,3,9,0,0,8,1608,182,79,106,74.5,28,46,60.9,8,12,66.7,FW,3f7bafbe
461,Diego,121,1205,2024-2025,24,es ESP,Leganés,es La Liga,28,1205,13.4,13,15,6,3,0,3,3,0,0,0,121,192,63.0,6,8,3,1,16,1679,322,62,89,69.7,42,68,61.8,6,12,50.0,FW,b85a5126
462,Cristhian Stuani,107,1084,2024-2025,37,uy URU,Girona,es La Liga,32,1084,12.0,6,26,6,11,2,13,8,3,3,0,107,154,69.5,6,1,3,0,10,1450,161,68,85,80.0,32,50,64.0,3,8,37.5,FW,220c11f1
463,Bertuğ Yıldırım,101,1093,2024-2025,22,tr TUR,Getafe,es La Liga,22,1093,12.1,14,8,12,1,0,1,1,0,0,0,101,186,54.3,9,9,9,3,14,1304,287,56,99,56.6,30,50,60.0,4,9,44.4,FW,7410d325
